Emri,Cmimi aktual,Cmimi i vjeter
DVD -r Pleomax 1 cope DXG47610SJ,90,90
Kabell VGA VCOM CG341A 1.8 M,390,390
Kabell VGA VCOM CG341A 3 M,390,390
Kabell VGA VCOM CG341D 1.8 M,390,390
Kabell VGA VCOM CG341D 3 M,490,490
Kabell VGA VCOM CG341G 3 M,490,490
Mouse HP Wired 125 Black,640,790
Kabell VGA VCOM CG381DG 3 M,690,690
USB Sandisk 16GB SDCZ48-016G-U46 AM,690,690
USB Verbatim PinStripe 32GB 49317 3.2 Gen 1,690,690
Mouse HP Wired 240J6AA I,800,990
USB Sandisk 32GB SDCZ48-032G-U46 AM,890,890
USB Verbatim PinStripe 64GB 49318 3.2 Gen 1,890,890
USB Sandisk 16GB SDCZ33-016G-G35 AM,990,990
Mouse Optical DELL MS116 White I,990,990
Mouse HP Wired X500 E5E76AA I,"1,040","1,290"
USB Wireless TP-LINK TL-WN725N,"1,190","1,190"
BD-R Kodak Blue Ray 10 Cope 1110110,"1,200","1,200"
Mouse HP Wireless 150 2S9L1AA I,"1,200","1,490"
Switch TP-Link 8 Porta LS1008,"1,200","1,200"
Boje printeri Canon GI490 Magenta PK,"1,290","1,290"
Mouse Wireless Hama MW-300 00173021 Blue,"1,290","1,290"
Mouse HP Wireless X200 6VY95AA I,"1,360","1,690"
Mouse Lenovo Wireless 300 Black,"1,690","1,690"
Cante Laptopi Lenovo 15.6 Toploader Casual T210 Black I,"1,990","1,990"
Tastiere + Mouse Wired HP 100 240J7AA I,"2,000","2,490"
Cante Laptopi Lenovo 15.6 Backpack Casual B210 Black I,"2,290","2,290"
Koke Printeri HP 6ZA17AE Black PK,"2,400","2,990"
Koke Printeri HP 6ZA18AE Tri-Color PK,"2,400","2,990"
Cante Laptopi HP 2Z8P3AA 15.6 Prelude Black I,"2,400","2,990"
Tastiere + Mouse Wired HP Pavilion 9DF28AA,"2,400","2,990"
Kufje Gaming Lenovo H100 Black,"2,490","2,490"
Tastiere + Mouse Wireless HP 330 2V9E6AA I,"2,800","3,490"
Tastiere Gaming Aula Be Fire Wired Black,"2,990","2,990"
Kufje Gaming Marvo GP001 Black/Red,"2,990","2,990"
Photo Printer Paper G&G GG-ZP023-50,"2,990","2,990"
Cante Laptopi Dell 15.6 Essential Backpack ES1520P I,"2,990","2,990"
Router Wireless TP-LINK TL-WR840N,"2,990","2,990"
Tastiere + Mouse Wireless HP 230 18H24AA I,"3,200","3,990"
Switch TP-Link 16 Porta TL-SF1016D AM,"3,490","3,490"
Mouse Wireless Hama MW-800 00173011 Dark Grey,"3,590","3,590"
Cante Laptopi HP 1G6D5AA 15 Lightweight PK,"3,600","4,490"
Tastiere + Mouse Wireless Dell KM3322W Black I,"3,990","3,990"
Mouse Wireless Hama MW-900 00173017 Dark Blue,"3,990","3,990"
Mouse Wireless Hama MW-900 00173018 Light Grey,"3,990","3,990"
SSD e brendshme Laptopi 240GB WD 2280 Sata Green PK,"4,490","4,490"
Router Wireless TP-LINK AC1200 Archer C50,"4,590","4,590"
Cante Laptopi HP 1A218AA 15.6 Pavilion Renew Blue PK,"4,800","5,990"
"Cante Laptopi HP 1A213AA 15"" Renew Topload Grey PK","4,800","5,990"
Router Wireless MERCUSYS AC12G AC1200 AM,"4,990","4,990"
Access Point Wireless TP-Link N-YL-WA801ND AM,"5,190","5,190"
Printer HP DeskJet All-in-One 2320 I,"5,200","6,490"
Tastiere Gaming Lenovo K300 Wired I,"5,490","5,490"
Router Wireless TP-LINK AC1200 Archer C64,"5,490","5,490"
Printer HP DeskJet MFP 2320 PK,"5,600","6,990"
Router Wireless TP-LINK AC1200 MU-MIMO ARCHER C6,"6,190","6,190"
"Hard Disk I Jashtem Verbatim 53200 2.5"" 1TB","7,490","7,490"
"Hard Disk I Jashtem Verbatim 53023 2.5"" 1TB","7,490","7,490"
RAM PC HyperX Fury 8GB DDR4 2666MHz PK,"7,900","7,900"
Hard Disk I Jashtem Verbatim 53177 2.5 2TB I,"9,290","9,290"
Printer HP LaserJet 107a,"10,790","13,490"
