Emri,Cmimi aktual,Cmimi i vjeter
Kase Celulari Samsung Galaxy A34 Clear Case GP-FPA346VAATW Transparent,690,690
Kase Celulari Samsung Galaxy A54 Clear Case GP-FPA546VAATW Transparent,690,690
Kase Celulari Samsung Galaxy A14 Clear Case GP-FPA146VAATW Transparent,690,690
Xham Mbrojtes Samsung Galaxy A34 GP-TTA346KDATW,890,890
Xham Mbrojtes Samsung Galaxy A54 GP-TTA546KDATW,890,890
Kabell Celulari Hama 00201595 USB to C 1.5M Black,990,990
Kabell Celulari Hama 00201590 C to C 1M White,"1,090","1,090"
Watch Acme Fitness Activity Tracker ACT101B Blue,"1,190","1,990"
Watch Acme Fitness Activity Tracker ACT101R Red,"1,190","1,990"
Watch Acme Fitness Activity Tracker ACT206 Black,"1,190","2,190"
Smart Watch Maxcom Fitness Band Fit Fw20 Soft Lime,"1,190","1,490"
Adaptor Samsung USB C to Jack EE-UC10JUWEGWW Black,"1,190","1,190"
Kabell Celulari Hama 0086409 C to C 1.5M Black,"1,190","1,190"
Karikues Celulari Samsung Type-A 15W EP-TA20EBENGEU  Black,"1,290","1,290"
Smart Watch Maxcom Fitness Band Fit Fw20 Soft Black,"1,490","1,490"
Screen Protector Celulari Samsung Galaxy Z Fold4 EF-UF93PCTEGWW,"1,490","1,490"
Kabell Celulari Hama 00187281 USB to C 1M White,"1,490","1,490"
Kabell Celulari Hama 00187282 C to C 1M Black,"1,690","1,690"
Kase Celulari Samsung Galaxy S24 Clear Case GP-FPS921SAATW Transparent,"1,690","1,690"
Kase Celulari Samsung Galaxy S24 Plus Clear Case GP-FPS926SAATW Transparent,"1,690","1,690"
Kase Celulari Samsung Galaxy S21 Plus Clear Cover EF-QG996TTEGWW Transparent,"1,790","1,790"
Kase Celulari Samsung Galaxy S21 Ultra Clear Cover EF-QG998TTEGWW Transparent,"1,790","1,790"
Kase Celulari Samsung Galaxy S21 Clear Cover EF-QG991TTEGWW Transparent,"1,790","1,790"
Kabell Celulari Hama 00201593 C to C 3M White,"1,790","1,790"
Kase Celulari Samsung Galaxy A25 Slot Case EF-OA256TMEGWW Light Green,"1,790","1,790"
Xham Mbrojtes Samsung Galaxy S23 EF-US911CTEGWW,"1,890","1,890"
Karikues Celulari Hama 00201651 Type-C Fast Charge 25W Black,"1,890","1,890"
Karikues Celulari Hama 00201652 Type-C Fast Charge 25W White,"1,890","1,890"
Kabell Celulari Hama 00201576 Flexible C to C 1.5M Black,"1,890","1,890"
Kabell Celulari Hama 00201577 Flexible C to C 1.5M White,"1,890","1,890"
Kufje Celulari Apple mnhf2zm/a,"1,990","1,990"
Kabell Celulari Hama 00201535 3in1 1M White,"2,190","2,190"
Karikues Celulari Samsung Type-C Super Fast Charging 25W EP-T2510NBEGEU Black,"2,190","2,190"
Celular Maxcom Classic MM142 Black,"2,290","3,990"
Telefon Fiks MaxCom KXT100 Black,"2,290","2,290"
Karikues Makine Hama 0086406 Fast Charger 32W,"2,290","2,290"
Smart Watch Maxcom Fit FW32 Neon Pink,"2,490","3,990"
Kase Celulari Samsung Galaxy S21 Silicone Cover EF-PG991TJEGWW Grey,"2,590","2,590"
Kase Celulari Samsung Galaxy S21 Plus Silicone Cover EF-PG996TBEGWW Black,"2,590","2,590"
Kase Celulari Samsung Galaxy S21 Ultra Silicone Cover EF-PG998TJEGWW Grey,"2,590","2,590"
Kase Celulari Samsung Galaxy S23 Clear Cover EF-QS911CTEGWW Transparent,"2,590","2,590"
Kase Celulari Samsung Galaxy S23 Plus Clear Cover EF-QS916CTEGWW Transparent,"2,590","2,590"
Kase Celulari Samsung Galaxy S23 FE Clear Cover EF-QS711CTEGWW,"2,590","2,590"
Karikues Celulari Hama 0086414 4x Type-A Quick Charge 33W,"2,590","2,590"
Kabell Celulari Hama 00201536 3in1 1.5M Black,"2,590","2,590"
Kase Celulari Samsung Galaxy S24 Silicone Cover EF-PS921TEEGWW Dark Violet,"2,590","2,590"
Kase Celulari Samsung Galaxy S24 Silicone Case EF-PS921TGEGWW Light Green,"2,590","2,590"
Kase Celulari Samsung Galaxy S24 Silicone Cover EF-PS921TVEGWW Dark Violet,"2,590","2,590"
Kase Celulari Samsung Galaxy S24 Silicone Cover EF-PS921TWEGWW White,"2,590","2,590"
Kase Celulari Samsung Galaxy S24 Plus Silicone Cover EF-PS926TEEGWW Dark Violet,"2,590","2,590"
Kase Celulari Samsung Galaxy S24 Plus Silicone Cover EF-PS926TGEGWW Light Green,"2,590","2,590"
Kase Celulari Samsung Galaxy S24 Plus Silicone Cover EF-PS926TWEGWW White,"2,590","2,590"
Kase Celulari Samsung Galaxy S24 Ultra Silicone Cover EF-PS928TEEGWW Dark Violet,"2,590","2,590"
Kase Celulari Samsung Galaxy S24 Ultra Silicone Cover EF-PS928TGEGWW Light Green,"2,590","2,590"
Kase Celulari Samsung Galaxy S24 Ultra Silicone Cover EF-PS928TWEGWW White,"2,590","2,590"
Smart Watch Maxcom Fit FW36 Aurum SE Black,"2,790","4,490"
Celular Maxcom Comfort MM428 BB Black,"2,890","3,990"
Kase Celulari Samsung Galaxy S23 Plus Silicone Cover EF-PS916TNEGWW Dark Blue,"2,890","2,890"
Kase Celulari Samsung Galaxy S23 Plus Silicone Cover EF-PS916TUEGWW Beige,"2,890","2,890"
Kase Celulari Samsung Galaxy S23 FE Silicone Cover EF-PS711TBEGWW Graphite,"2,890","2,890"
Kase Celulari Samsung Galaxy S23 FE Silicone Cover EF-PS711TMEGWW Mint,"2,890","2,890"
Kase Celulari Samsung Galaxy S23 FE Silicone Cover EF-PS711TOEGWW Apricot,"2,890","2,890"
Karikues Celulari Hama 00201998 Type-C Quick Charge 30W White,"2,890","2,890"
Kufje Bluetooth Hama Teens Guard 00184111 Black,"2,890","2,890"
Smart Watch Maxcom Fit FW22 Classic Black,"2,990","2,990"
Kufje Bluetooth Hama Freedom Lit 00184085 White,"2,990","2,990"
Kufje Bluetooth Hama Freedom Lit II 00184199 Rose,"2,990","2,990"
Karikues Makine Hama 00187279 Type-C 25W,"2,990","2,990"
Karikues Celulari Samsung Super Fast Charging 25W EP-TA800XBEGWW Black,"3,290","3,290"
Karikues Celulari Samsung Super Fast Charging 25W EP-TA800XWEGWW White,"3,290","3,290"
Smart Watch Vivax Kids Hero Blue PK,"3,490","3,490"
Smart Watch Vivax Kids Hero Orange PK,"3,490","3,490"
Smart Watch Vivax Kids Cordys Blue PK,"3,490","3,490"
Kabell Celuari Apple Lighting-USB-C 1m mm0a3zm/a,"3,490","3,490"
Telefon Fiks MaxCom KXT480 Black,"3,490","3,490"
Samsung Galaxy Smart Tag 2 EI-T5600BBEGEU Single Black,"3,490","3,490"
Samsung Galaxy Smart Tag 2 EI-T5600BWEGEU Single Wihte,"3,490","3,490"
Kase Celulari Samsung Galaxy S23 FE Smart View Wallet EF-ZS711CBEGWW Black,"3,490","3,490"
Kufje Bluetooth Hama Spirit Calypso 00184101 White,"3,490","3,490"
Kase Celulari Samsung Galaxy S10 Standing Cover EF-RG973CBEGWW Black,"3,690","3,690"
Kase Celulari Samsung Galaxy S10 Standing Cover EF-RG973CSEGWW Silver,"3,690","3,690"
Kase Celulari Samsung Galaxy S10PLUS Standing Cover EF-RG975CSEGWW Silver,"3,690","3,690"
Kase Celulari Samsung Galaxy Flip5 Silicone Cover EF-PF731TMEGWW Mint,"3,690","3,690"
Kase Celulari Samsung Galaxy Flip5 Silicone Cover EF-PF731TVEGWW Lavender,"3,690","3,690"
Karikues Celulari Hama 00201653 Type-C Fast Charge 45W White,"3,790","3,790"
Kase Celulari Samsung Galaxy S24 Smart View Cover EF-ZS921CBEGWW Black,"3,790","3,790"
Kase Celulari Samsung Galaxy S24 Smart View Cover EF-ZS921CGEGWW Light Green,"3,790","3,790"
Kase Celulari Samsung Galaxy S24 Ultra Smart View Cover EF-ZS928CGEGWW Light Green,"3,790","3,790"
Kase Celulari Samsung Galaxy S21 Plus Kvadrat Cover EF-XG996FJEGWW Grey,"3,890","3,890"
Telefon Fiks MaxCom KXT709,"3,990","3,990"
Celular Maxcom Classic MM471 Grey,"3,990","6,490"
Kase Celulari Samsung Galaxy S10E Standing Cover EF-RG970CLEGWW Blue,"3,990","3,990"
Watch Acme Smart SW102 Khaki,"3,990","3,990"
Kabell Celulari Apple USB-C Woven mqkj3zm/a White,"3,990","3,990"
Watch Acme Fitness Activity Tracker ACT307,"4,190","4,190"
Kase Celulari Apple SE Silicone mxyh2zm/a Black,"4,290","4,290"
Kase Celulari Apple SE Silicone mxyk2zm/a Pink,"4,290","4,290"
Smart Watch Samsung Galaxy Fit3 Rose Gold,"4,290","7,690"
Smart Watch Samsung Galaxy Fit3 Grey,"4,290","7,690"
Smart Watch Samsung Galaxy Fit3 Silver,"4,290","7,690"
Kase Celulari Samsung Galaxy S24 Standing Grip Case EF-GS921CLEGWW Light Blue,"4,390","4,390"
Kase Celulari Samsung Galaxy S24 Plus Standing Grip Case EF-GS926CLEGWW Light Blue,"4,390","4,390"
Kufje Bluetooth Lenovo HD200 Red,"4,490","4,490"
Smart Watch Maxcom Fit FW36 Aurum SE Gold,"4,490","4,490"
Karikues Celulari Samsung Super Fast Charging 45W EP-T4510XBEGEU Black,"4,590","4,590"
Celular Maxcom Comfort MM426 Black,"4,590","4,590"
Smart Watch Fitness Band Maxcom FW34 Silver,"4,590","4,590"
Celular Maxcom Strong MM920 Black,"4,990","4,990"
Smart Watch Maxcom Fit FW35 Aurum Gold,"4,990","4,990"
Apple AirTag Loop mhj03zm/a Deep Navy,"4,990","4,990"
Apple AirTag Loop mx4f2zm/a White,"4,990","4,990"
Kase Celulari Samsung Galaxy Z Flip3 Aramid Cover EF-XF711SBEGWW Black,"4,990","4,990"
Kufje Bluetooth Lenovo HD300 BLACK,"4,990","4,990"
Celular Maxcom Classic MK241 Black,"4,990","4,990"
Smart Watch Maxcom Fit FW56 Carbon Pro Black,"4,990","4,990"
Kase Celulari Samsung Galaxy S10E Leather Cover EF-VG970LBEGWW Black,"5,190","5,190"
Kase Celulari Samsung Galaxy S10E Leather Cover EF-VG970LGEGWW Green,"5,190","5,190"
Kase Celulari Samsung Galaxy S10E Leather Cover EF-VG970LJEGWW Grey,"5,190","5,190"
Kase Celulari Samsung Galaxy S10E Leather Cover EF-VG970LREGWW Red,"5,190","5,190"
Kase Celulari Samsung Galaxy S10 Plus Leather Cover EF-VG975LJEGWW Grey,"5,190","5,190"
Kase Celulari Samsung Galaxy S10 Leather Cover EF-VG973LBEGWW Black,"5,490","5,490"
Kase Celulari Samsung Galaxy S10 Leather Cover EF-VG973LJEGWW Grey,"5,490","5,490"
Kase Celulari Samsung Galaxy S10 Leather Cover EF-VG973LREGWW Red,"5,490","5,490"
Kase Tablet Samsung Galaxy Tab A Book Cover EF-BT580PBEGWW Black,"5,490","5,490"
Kase Celulari Samsung Galaxy Note10 Plus Leather Cover EF-VN975LBEGWW Black,"5,490","5,490"
Kase Celulari Samsung Galaxy S21 Leather Cover EF-VG991LBEGWW Black,"5,490","5,490"
Kase Celulari Samsung Galaxy S21 Plus Leather Cover EF-VG996LBEGWW Black,"5,490","5,490"
Kase Celulari Samsung Galaxy S23 Plus Leather Cover EF-VS916LAEGWW Camel,"5,890","5,890"
Rrip Apple Watch 41mm 3j598zm/a Midnight,"5,990","5,990"
Rrip Apple Watch 41mm mku93zm/a Starlight,"5,990","5,990"
Rrip Apple Watch 41mm mkud3zm/a Red,"5,990","5,990"
Rrip Apple Watch 41mm mkuf3zm/a Marigold,"5,990","5,990"
Rrip Apple Watch 41mm ml2w3zm/a Summit White Nike,"5,990","5,990"
Rrip Apple Watch 45mm ml363zm/a Cargo Khaki Nike,"5,990","5,990"
Kufje Bluetooth Lenovo HD800 BLACK,"5,990","5,990"
Kufje Bluetooth Lenovo HD800 Red,"5,990","5,990"
Telefon Cordless MaxCom MC6800 Black,"5,990","5,990"
Smart Watch Maxcom Fit FW42 Silver,"5,990","8,990"
Smart Watch Maxcom FW25 Arsen Pro Black,"5,990","5,990"
Smart Watch Maxcom FW25 Arsen Pro Gold,"5,990","5,990"
Celular Maxcom Classic MM244 Black,"5,990","5,990"
Kase Celulari Apple 12 Pro Clear Case MagSafe mhlm3zm/a,"6,290","6,290"
Kase Celulari Apple 12 Pro Silicone MagSafe mhl43zm/a Deep Navy,"6,290","6,290"
Kase Celulari Apple 12 Pro Silicone MagSafe mhl73zm/a Black,"6,290","6,290"
Kase Celulari Apple 13 Pro Max Silicone MagSafe mm2r3zm/a Pink,"6,290","6,290"
Kase Celulari Apple 13 Pro Silicone MagSafe mm2f3zm/a Green,"6,290","6,290"
Kase Celulari Apple 13 Pro Silicone MagSafe mm2j3zm/a Blue,"6,290","6,290"
Kase Celulari Apple 13 Pro Silicone MagSafe mm2k3zm/a Black,"6,290","6,290"
Kase Celulari Apple 13 Silicone MagSafe mm253zm/a Pink,"6,290","6,290"
Kase Celulari Apple 13 Silicone MagSafe mm263zm/a Green,"6,290","6,290"
Kase Celulari Apple 13 Silicone MagSafe mm293zm/a Blue,"6,290","6,290"
Kase Celulari Apple 13 Silicone MagSafe mm2c3zm/a Red,"6,290","6,290"
Kase Celulari Apple 14 Plus Clear Case MagSafe mpu43zm/a,"6,290","6,290"
Kase Celulari Apple 14 Plus Silicone MagSafe mpt33zm/a Midnight,"6,290","6,290"
Kase Celulari Apple 14 Pro Silicone MagSafe mptf3zm/a Storm Blue,"6,290","6,290"
Kase Celulari Apple 14 Silicone MagSafe mpru3zm/a Midnight,"6,290","6,290"
Kase Celulari Samsung Galaxy S23 Leather Cover EF-VS911LBEGWW Black,"6,290","6,290"
Kase Celulari Samsung Galaxy S20 Plus Led Cover EF-KG985CBEGEU Black,"6,490","6,490"
Apple iPhone 15 Silicone Case MagSafe mt0n3zm/a Storm Blue,"6,490","6,490"
Apple iPhone 15 Plus Clear Case MagSafe mt213zm/a,"6,490","6,490"
Apple iPhone 15 Pro Max Silicone Case MagSafe mt1m3zm/a Black,"6,490","6,490"
Celular Maxcom Comfort MM730 Black,"6,590","6,590"
Kase Tablet Samsung Galaxy Tab A Book Cover EF-BT590PBEGWW Black,"6,990","6,990"
Kase Celulari Samsung Galaxy N20 Led View Cover EF-NN980PBEGEE Black,"6,990","6,990"
Kufje Wireless Philips TAKH402PK/00 Pink,"7,990","7,990"
Celular Maxcom Strong MM916 Black,"7,990","7,990"
Smart Watch Maxcom Fit FW46 Xenon Black,"7,990","7,990"
Smart Watch Maxcom Fit FW58 Black,"7,990","13,990"
Kase Tablet Samsung Galaxy Tab S4 Book Cover EF-BT830PBEGWW Black,"8,190","8,190"
Kase Celulari Apple 14 Leather MagSafe mpp43zm/a Midnight,"8,290","8,290"
Kase Celulari Apple 14 Plus Leather MagSafe mpp93zm/a Midnight,"8,290","8,290"
Kase Celulari Apple 14 Pro Leather MagSafe mppg3zm/a Midnight,"8,290","8,290"
Smart Watch Maxcom Fit FW55 Black,"8,490","8,490"
Kufje Apple Beats Flex mymc2zm/a Black,"8,990","8,990"
Kufje Apple Beats Flex myme2zm/a Smoke Gray,"8,990","8,990"
Celular Samsung Galaxy A04s Dual 32GB SM-A047F Black SO,"8,990","12,490"
Smart Watch Maxcom Fit FW42 Gold,"8,990","8,990"
Smart Watch Maxcom FW67 Titan Pro Orange,"8,990","16,490"
Smart Watch Maxcom EcoWatch2 EW02 Silver,"8,990","8,990"
Celular Maxcom MS507 Black/Red,"9,990","9,990"
Celular Samsung Galaxy A05s Dual 64GB SM-A057G Black,"10,790","14,990"
Celular Samsung Galaxy A14 Dual 64GB SM-A145R Black SO,"10,990","13,990"
Celular Samsung Galaxy A14 Dual 128GB SM-A145R Black SO,"11,490","14,990"
Smart Watch Maxcom Fit FW59 Blue,"11,490","11,490"
Smart Watch Maxcom Fit FW59 Pink,"11,490","11,490"
Celular Maxcom MS571 Black,"11,990","11,990"
Celular Maxcom MS572 Black,"11,990","11,990"
"Tablet Lenovo Tab M8 4th Gen 3/32GB 8"" Wi-Fi Arctic Grey","11,990","11,990"
Kufje Celulari Samsung Galaxy Buds FE SM-R400N Graphite,"12,890","12,890"
Kufje Celulari Samsung Galaxy Buds FE SM-R400N White,"12,890","12,890"
Tablet VivaxTPC-705 Kids + Case PK,"12,900","12,900"
Kufje UpBeat Wireless Philips SHB2505WT/10 White,"12,990","12,990"
Kufje Wireless Philips TABH305BK/00 Black,"12,990","12,990"
Watch Samsung Galaxy Active 3 41 mm SM-R850NZDAEUF Gold Bronze SO,"12,990","16,990"
Watch Samsung Galaxy Active 3 41 mm SM-R850NZSAEUF Silver SO,"12,990","16,990"
Celular Samsung Galaxy A15 Dual 128GB SM-A155F Blue,"12,990","16,990"
Celular Samsung Galaxy A15 Dual 128GB SM-A155F Yellow,"12,990","16,990"
Celular Samsung Galaxy A14 Dual 64GB SM-A145R Light Green SO,"14,290","14,290"
Celular Samsung Galaxy A14 Dual 64GB SM-A145R Silver SO,"14,290","14,290"
"Tablet Samsung Galaxy Tab A7 Lite SM-T225N 8.7"" LTE Silver SO","14,990","21,990"
"Tablet Samsung Galaxy Tab A7 Lite SM-T220N 8.7"" WiFi Silver SO","14,990","18,990"
"Tablet Samsung Galaxy Tab A9 64GB SM-X110N 8.7"" Wi-Fi Grey","15,990","18,990"
"Tablet Samsung Galaxy Tab A9 64GB SM-X110N 8.7"" Wi-Fi Blue","15,990","18,990"
"Tablet Samsung Galaxy Tab A9 64GB SM-X110N 8.7"" Wi-Fi Silver","15,990","18,990"
Smart Watch Maxcom FW67 Titan Pro Graphite,"16,490","16,490"
Kufje Celulari Samsung Galaxy Buds 3 SM-R530N Silver,"17,890","17,890"
Kufje Celulari Samsung Galaxy Buds 3 SM-R530N White,"17,890","17,890"
Celular Samsung Galaxy A23 Dual 64GB SM-A236B Black SO,"17,990","21,990"
"Tablet Lenovo Tab M10 3rd Gen 4/64GB 10.1"" Wi-Fi Grey","18,490","18,490"
Radio Marres Motorola PMR T92 H2O,"18,990","18,990"
Kufje Wireless Philips SHD8850/12,"18,990","18,990"
Celular Samsung Galaxy A25 5G Dual 128GB SM-A256B Black,"18,990","26,990"
Radio Marres Motorola PMR XT420,"19,990","19,990"
Samsung Galaxy Watch 4 Classic 42mm SM-R880N Black SO,"19,990","27,990"
Samsung Galaxy Watch 4 44mm LTE SM-R875F Black SO,"19,990","29,990"
Celular Samsung Galaxy A25 5G Dual 128GB SM-A256B Blue,"19,990","26,990"
Celular Samsung Galaxy A25 5G Dual 128GB SM-A256B Yellow,"19,990","26,990"
"Tablet Samsung Galaxy Tab A9 Plus 64GB SM-X210N 11"" Wi-Fi Graphite","20,990","24,990"
Apple Watch SE 40mm 3h135z/a Case Only Space Grey,"21,990","21,990"
Radio Marres Motorola PMR XT660D,"22,990","22,990"
Kufje Celulari Samsung Galaxy Buds 3 Pro SM-R630N Silver,"23,890","23,890"
Kufje Celulari Samsung Galaxy Buds 3 Pro SM-R630N White,"23,890","23,890"
Samsung Galaxy Watch 6 40mm SM-R930N Beige,"24,990","31,490"
Samsung Galaxy Watch 6 40mm SM-R930N Black,"24,990","31,490"
Celular Samsung Galaxy A35 5G Dual 128GB SM-A356B Light Violet,"25,490","32,990"
Celular Samsung Galaxy A35 5G Dual 128GB SM-A356B Black,"25,490","32,990"
Celular Samsung Galaxy A35 5G Dual 128GB SM-A356B Yellow,"25,490","32,990"
