Emri,Cmimi aktual,Cmimi i vjeter
Puzzle Ravensburger Disney Lightyear To Infinity,N/A,990
LEGO CITY GREAT VEHICLES  ROADWORK TRUCK,990,1.190
"LEGO CITY FIRE , FOREST FIRE",1.090,1.290
Puzzle Anatolian Bill Bell,1.090,1.390
LEGO DC COMICS SUPER HEROES KEY LIGHT HARLEY QUEEN,1.090,1.790
Puzzle Anatolian Daytons Garage,1.190,1.490
Puzzle Anatolian Maliks,1.190,1.490
Puzzle Anatolian Mountain Cabin,1.190,1.490
Puzzle Anatolian Caribbean King,1.190,1.490
LEGO City Great Vehicles Monster Truck,1.190,1.490
LEGO Creator Sports Car,1.290,1.590
Lego Classic Baseplate Gray 11024,1.390,1.499
LEGO BRICKHEADZ WONDER WOMAN 41599,1.390,1.590
LEGO STAR WARS REBEL TROOPER BATTLE PACK 75164,1.490,2.490
Lego Storage Minifigure Display Case Black,1.690,1.890
Puzzle Anatolian Lift My Heart 2,1.790,2.090
Puzzle Anatolian Sunny Morning,1.790,2.090
LEGO CREATOR MIGHTY DINOSAURS,N/A,1.890
LEGO Friends Olivias Electric Car,1.990,2.390
LEGO Creator Monster Truck,2.090,2.490
LOGIC BOX INTERSTELLAR TRAVEL,2.090,2.490
Lego Dots Lots Of Dots 41935,2.190,2.390
LEGO DISNEY ENCATO,2.190,2.490
LEGO City Town Road Plates,2.190,2.690
LEGO DUPLO My First Animal Train,2.290,2.590
Puzzle Anatolian Seaside Dreams,2.290,2.790
PUZZLE 2000,2.290,2.790
Lego Marvel Spidey And His Amazing Friends Hulk vs,N/A,2.390
LEGO CITY FIRE LADDER TRUCK,2.490,3.190
LEGO BRICKHEADZ STAR WARS 75317,2.690,3.090
LEGO City Fire Fire Helicopter Response,3.090,3.690
Lego Speed Ferrari 812 Competition 76914,N/A,3.290
Lego Disney Pixar Lightyear Zurg Battle 76831,3.290,3.890
LEGO DUPLO BATWING ADVENTURE 10823,3.390,4.890
Lego Classic Creative Transparent Bricks 11013,3.490,3.899
LEGO CITY FIRE RESCUE HELICOPTER,3.490,4.190
LEGO City Air Race,3.490,4.190
LEGO Friends Vet Clinic Ambulance,3.490,4.190
LEGO STAR WARS POE DAMERON,N/A,3.497
Lego Marvel Super Heroes,3.690,4.190
Puzzle Anatolian Fractal Istanbul,3.690,4.390
LEGO Super Mario Marios House,N/A,3.990
LEGO DUPLO Disney Mickey & Minnie,4.290,4.790
Lego Starwars Young Yedi 75358,4.390,4.990
LEGO ARCHITECTURE LONDRA 21034,4.690,5.290
Lego Dots Hogwarts Desktop Kit 41811,4.790,5.390
Lego Duplo Frozen Ice Castle 10899,5.290,5.990
LEGO Friends Baking Competition (41393),5.490,6.190
LEGO MICKEY AND FRIENDS,5.490,6.190
LEGO TECHNIC BMW R 1200 GS ADVENTURE 42063,5.490,7.890
LEGO DISNEY PRINCESS BELLE AND RAPUNZEL'S ROYAL,6.590,7.390
LEGO SUPER MARIO,6.990,7.790
LEGO CITY FIRE 60282,7.090,8.390
Lego Architecture Singapore 21057,N/A,7.990
LEGO Disney Princess Rapunzels Tower,8.490,9.490
LEGO NINJAGO CATAMARAN SEA BATTLE,8.690,9.690
LEGO Architecture Tokyo,8.790,9.790
LEGO : Sonic the Hedgehog Green Hill Zone  21331,8.890,9.990
LEGO Speed Champions Lamborghini Urus ST-X,8.890,9.990
LEGO Harry Potter: Hogwarts Whomping  75953,10.390,11.590
Lego Marvel Infinity Gauntlet 76191,N/A,10.990
LEGO ARCHITECTURE STATUE OF LIBERTY 21042,10.990,12.990
Lego Architecture Statue of Liberty 21042,N/A,12.990
LEGO Creator Pirate Ship,13.290,14.790
LEGO Architecture The White House,13.390,15.790
LEGO DC Super Heroes: Batmobile 76112,14.290,16.890
LEGO Art Disney Mickey Mouse,16.090,17.890
LEGO SUPER HEROES MARVEL THE GUARDIANS SHIP,19.690,21.990
LEGO TECHNIC PORSCHE 911 RSR,22.390,24.990
