Emri,Cmimi aktual,Cmimi i vjeter
LOJE PS4 GOD OF WAR 4,1.090,1.790
LOJE PS4 UNCHARTED COLLECTION,1.290,2.190
LOJE PS4 HORIZON ZERO DAWN,1.290,2.290
LOJE PS4 UNCHARTED THE LOST LEGACY,1.390,2.390
LOJE PS4 THE LAST OF US REMASTERED,1.390,2.490
LOJE PS4 SPACE HULK TACTICS,1.490,1.990
LOJE PS4 DEAD RISING 4,1.490,2.490
LOJE PS4 MONSTER HUNTER WORLD,1.490,2.690
LOJE PS4 BORDERLANDS COLLECTION,1.490,2.690
LOJE PS4 Lego DC Super-Villains,1.590,2.090
LOJE PS4 LEGO STAR WARS THE FORCE AWAKENS,1.690,2.090
LOJE PS4 ASSASSINS CREED THE EZIO,1.690,2.290
LOJE PS4 RATCHET&CLANK,1.790,1.990
LOJE PS4 Street Fighter V - Arcade Edition,1.790,2.290
LOJE PS4 ALIEN ISOLATION,1.790,2.497
LOJE PS4 GRAN TURISMO SPORT,1.890,2.190
LOJE PS4 ASSASSIN'S CREED: VALHALLA,1.890,2.490
LOJE PS4 Street Fighter V - Champion Edition,2.190,2.690
LOJE PS4 Lego Star Wars: The Skywalker Saga,2.190,2.690
LOJE PS4 BATTLEFIELD 2042,2.190,3.290
LOJE PS4 PERSONA 5 ROYAL,2.290,4.190
LOJE PS4 THE LAST OF US PART II,2.490,4.390
LOJE PS4 Resident Evil Village,2.590,3.290
LOJE PS4 GTA V,2.690,2.990
LOJE PS4 CRASH BANDICOOT TRILOGY,2.690,3.490
LOJE PS4 NBA 2K24 KOBE BRYANT EDITION,2.690,5.890
LOJE PS4 ARK:SURVIVAL EVOLVED,2.890,3.490
LOJE PS4 GTA TRILOGY,3.090,3.490
LOJE PS4 EVERYBODY'S GOLF,3.190,5.290
LOJE PS4 MINECRAFT LEGENDS DELUXE EDITION,3.690,4.190
LOJE PS4 HORIZON FORBIDDEN WEST,3.790,6.290
LOJE PS4 AVATAR THE LAST AIRBENDER: QUEST FOR BALA,3.890,5.490
LOJE PS4 FINAL FANTASY VII REMAKE,3.990,5.290
LOJE PS4 THE CREW MOTORFEST,3.990,5.290
LOJE PS4 MARVELS SPIDERMAN GOTY,3.990,5.490
LOJE PS4 ASSASSINS CREED MIRAGE,3.990,5.990
LOJE PS4 ASSASSIN'S CREED MIRAGE,3.990,5.990
LOJE PS4 GRAN TURISMO 7,4.090,6.590
LOJE PS4 MARVEL'S GUARDIANS OF THE GALAXY,4.190,4.990
LOJE NSW DYING LIGHT,4.497,5.990
LOJE PS4 F1 MANAGER 2023,4.590,5.590
LOJE PS4 DESTINY CONNECT,4.790,6.290
LOJE PS4 NBA 2K24 STANDARD EDITION,4.890,5.890
LOJE PS4 EA SPORTS FC 24,4.890,7.990
LOJE PS4 PRINCE OF PERSIA THE LOST CROWN,4.990,5.790
LOJE PS4 GHOST OF TSUSHIMA DIRECTOR'S CUT,4.990,6.190
LOJE PS4 GOD OF WAR RAGNAROK,4.990,6.990
LOJE PS4 LIES OF P,5.090,6.290
LOJE PS4 STREET FIGHTER VI,5.090,6.590
LOJE PS4 DEATH STRANDING,5.090,8.690
LOJE PS4 F1 2022,5.290,8.090
LOJE PS4 MARVELS SPIDER MAN MORALES,5.390,5.990
LOJE PS4 HOGWARTS LEGACY,5.490,6.590
LOJE PS4 DIABLO IV CROSS GEN BUNDLE,5.590,6.990
LOJE PS4 MOTOGP 23,7.090,8.490
LOJE PS4 WWE 2K24 STANDART EDITION,N/A,7.490
LOJE PS4 RESIDENT EVIL 4 REMAKE STANDARD EDITION,7.990,8.490
LOJE PS4 CALL OF DUTY VANGUARD,7.990,8.590
LOJE PS4 CALL OF DUTY: MODERN WARFARE III,7.990,8.990
LOJE PS4 EA SPORTS FC 25,N/A,8.990
