Emri,Cmimi aktual,Cmimi i vjeter
DOREZE PS5 DUALSENSE WIRELESS VOLCANIC RED,7.290,8.490
DOREZE PS5 DUALSENSE WIRELESS BLUE,7.290,8.490
DOREZE PS5 DUALSENSE WIRELESS GREY CAMO,7.290,8.490
DOREZE PS5 DUALSENSE WIRELESS NOVA PINK,7.290,8.490
DOREZE PS5 DUALSENSE WIRELESS PURPLE,7.290,8.490
DOREZE PS5 DUALSENSE WIRELESS GALACTIC PURPLE,7.290,8.490
DOREZE PS5 DUALSENSE WIRELESS RED,7.290,8.490
DOREZE PS5 DUALSENSE WIRELESS COBALT BLUE,7.290,8.490
DOREZE PS5 DUALSENSE WIRELESS PINK,7.290,8.490
DOREZE PS5 DUALSENSE WIRELESS STARLIGHT BLUE,7.290,8.490
DOREZE PS5 DUALSENSE WIRELESS BLACK,N/A,7.990
DOREZE PS5 DUALSENSE WIRELESS WHITE,N/A,7.990
DOREZE PS5 DUALSENSE WIRELESS ASTROBOT,N/A,8.790
PLAYSTATION VR2 HORIZON CALL OF THE MOUNTAIN,66.990,72.990
