Emri,Cmimi aktual,Cmimi i vjeter
KAFE E BLUAR LAVAZZA CREMA GUSTO 250 G,390,490
PASTRUES XAVAX BIO M. KAFE/KETLE 111734,390,590
KAPSULE AMA - DECAFEINATO,N/A,590
KAPSULE AMA - INTENSO,N/A,590
KAPSULE AMA -PREMIUM,N/A,590
KAPSULE AMA-SOPRANO,N/A,590
KAPSULE AMA- CACAO,N/A,690
KAPSULE LAVAZZA AMM C&G,N/A,790
KAPSULE LAVAZZA AMM Q.ROSSA,N/A,790
KAPSULE LAVAZZA AMM PASSIONALE,N/A,790
ANTI KALCIFIKUES CA6704/10,N/A,990
ANTI KALCIFIKUES CA6700/91,N/A,1.290
ANTIKALKARE MIELE TABLET *6,N/A,2.290
PASTRUES EKSPRESI MIELE TABLET *10,N/A,2.390
FILTER EKSPRESI PHILIPS CA6903,N/A,3.090
