Emri,Cmimi aktual,Cmimi i vjeter
IBRIK FUEGO T-807,1.790,2.290
IBRIK FIRST AUSTRIA FA-5425-2-BA,1.790,2.290
IBRIK FIRST AUSTRIA FA-005404-1-BA,1.990,2.490
IBRIK FUEGO SB-W18-S34,1.990,2.590
IBRIK FUEGO SB-W18-S62,1.990,2.590
IBRIK FIRST AUSTRIA FA-5427-2-BA,N/A,2.090
IBRIK FIRST AUSTRIA FA-5409-7,2.190,2.890
IBRIK FUEGO T-907A,2.490,3.190
IBRIK FUEGO T-601,2.490,3.190
XHEZVE FIRST AUSTRIA FA-5450-4,2.490,3.190
IBRIK FUEGO MAJESTIC WK8285,N/A,2.690
IBRIK FIRST AUSTRIA FA-5411-2,2.790,3.490
IBRIK FIRST AUSTRIA 005407-4-GR,N/A,2.990
IBRIK FUEGO T-906,2.990,3.590
IBRIK PHILIPS HD9318/00,3.790,4.590
IBRIK FIRST AUSTRIA FA-5411-0,N/A,4.690
IBRIK PHILIPS HD9350/90,5.490,6.090
IBRIK PHILIPS HD9339/80,6.790,7.990
IBRIK PHILIPS HD9359/90,11.990,13.490
