Emri,Cmimi aktual,Cmimi i vjeter
SENSOR TYMI PER SISTEM ZJARRI TE PAVARUR,1.097,1.390
SENSOR XIAOMI MI DERE-DRITARE,1.197,2.490
SENSOR TAPO T110 DERE-DRITARE,1.690,2.290
SENSOR LEVIZJE TAPO T100,1.990,2.690
SENSOR XIAOMI MI DERE-DRITARE 2,N/A,2.490
XIAOMI MATES TEMPERATURE DHE LAGESHTIRE ORE,N/A,2.590
SMART HOME HUB TAPO H100,2.790,3.390
KAMERA SIGURIE XIAOMI SMART C200 360 1080P,2.990,3.990
KAMERA SIGURIE D-LINK PAN/TILT 1080P,2.990,3.990
KAMERA SIGURIE MI MAGNETIC MOUNT 2K,N/A,3.990
KAMERA SIGURIE TAPO C200 360 1080P,3.990,4.990
KAMERA SIGURIE XIAOMI SMART C300 2K,N/A,4.990
KAMERA SIGURIE TAPO C210 360 2K,4.990,6.390
KAMERA SIGURIE MI HOME 360 2K,4.997,6.990
KAMERA SIGURIE XIAOMI OUTDOOR AW300,N/A,5.590
KAMERA SIGURIE XIAOMI SMART C400 2.5K,N/A,5.590
KAMERA SIGURIE MI HOME 360 2K PRO,5.897,8.990
ZILE XIAOMI SMART DOORBELL,6.997,11.990
KAMERA SIGURIE MI WIRELESS OUTDOOR  1080P,7.197,7.990
KAMERA SIGURIE TAPO C320WS OUTDOOR 2K,N/A,8.390
KAMERA SIGURIE TAPO C510W OUTDOOR 2K,N/A,8.990
KAMERA SIGURIE MI WIRELESS OUTDOOR SET 1080P,8.990,9.990
RING VIDEO DOORBELL 1080P HD,9.997,14.590
ZILE DERE TAPO KAMERA KIT D230S1(EU),11.990,13.990
