Emri,Cmimi aktual,Cmimi i vjeter
PLLAKE FTOHES TERMUSI AMONIAKU 400gr 2 COPE,N/A,300
PASTRUES XAVAX FRIGORIFERI 500ML 111721,490,650
FILTER XAVAX PER FRIGORIFER DURAFRESH 111898,597,990
FRIGOBOX BLU PER USHQIME 24LT,1.990,2.990
FRIGOBOX BLU PER USHQIME 32.5L 82610,2.497,3.197
FRIGOBOX GIOSTYLE BRAVO 30+ 29.5LT,2.990,3.590
FRIGOBOX GIOSTYLE BRAVO 25+ 25.5LT,N/A,3.190
FRIGOBOX GIOSTYLE BRAVO 32+ 32.5LT,3.190,3.990
FRIGOBOX ELEKTRIK BLU PER USHQIME 21 L 801812,7.697,9.997
FRIGOBOX ELEKTRIK GIOSTYLE HORIZON 21LT 12V,7.897,9.990
FRIGOBOX ELEKTRIK MELCHIONI 24LT 12V/220V,N/A,9.990
