Emri,Cmimi aktual,Cmimi i vjeter
FRIGORIFER BANAK FUEGO FGHO98CFMC,16.490,19.990
FRIGORIFER FUEGO FGCF9200W,16.990,33.990
FRIGORIFER HOOBART HBCF7150W,21.990,28.990
FRIGORIFER BANAK BEKO CF100EWN,23.490,28.990
FRIGORIFER HOOBART HBCF9200W,23.990,34.990
FRIGORIFER HOOBART HBHO 98 CFMC,N/A,26.990
FRIGORIFER FUEGO FGCF7150W,N/A,27.990
FRIGORIFER BANAK FUEGO FGHO290CFMC,28.990,32.990
FRIGORIFER BANAK FUEGO FGHO145CFEC,N/A,29.990
FRIGORIFER BANAK HOOBART HBHO290CFMC,31.990,38.990
FRIGORIFER BANAK BEKO HSM210530,N/A,33.990
FRIGORIFER BANAK BEKO CF200WN,N/A,34.990
FRIGORIFER BEKO BANAK CF200EWN,N/A,34.990
FRIGORIFER BANAK HOOBART HBHO200CFMC,N/A,34.990
FRIGORIFER BANAK BEKO HSM20530,N/A,44.990
FRIGORIFER BANAK BEKO CF316EWN,N/A,44.990
FRIGORIFER BEKO HSA32530N,N/A,45.290
FRIGORIFER BANAK BEKO HSM30031,N/A,49.990
FRIGORIFER BANAK BEKO HSM40031,N/A,59.990
FRIGORIFER BEKO HSM37540,N/A,64.990
