Emri,Cmimi aktual,Cmimi i vjeter
FRIGORIFER BEKO GNO5322XPN,69.990,104.990
FRIGORIFER FUEGO FGSBS9472X,76.990,89.990
FRIGORIFER HOOBART HBSBS 9059 X,84.990,109.990
FRIGORIFER BEKO GNO46623XBR,N/A,119.990
FRIGORIFER BEKO GN163130SN,N/A,129.990
FRIGORIFER BEKO GN163140SN,132.990,149.990
FRIGORIFER LG GSBV70PZTE,139.990,158.990
FRIGORIFER BEKO GN163140ZGBN,N/A,142.990
FRIGORIFER BEKO B3RGNE664ZDXBR,146.990,179.990
FRIGORIFER SAMSUNG RF48A401EM9/EO,N/A,159.990
FRIGORIFER SAMSUNG RF48A400EB4/EO,N/A,164.990
FRIGORIFER LG GSJV70PZTE,169.990,199.990
FRIGORIFER SAMSUNG RS65DG5403S9EO,N/A,199.990
FRIGORIFER LG GSXV90MCDE,219.990,259.990
FRIGORIFER SAMSUNG SBS RH69B8940B1/EF,N/A,249.990
FRIGORIFER LG GMG960EVEE,N/A,279.990
FRIGORIFER SAMSUNG RF65DG960ESREO,N/A,299.990
FRIGORIFER SAMSUNG RF65DG960EB1EO,N/A,299.990
