Emri,Cmimi aktual,Cmimi i vjeter
FRIGORIFER HOOBART HBTF 484 W/N,N/A,21.990
FRIGORIFER BEKO BCNA275E4SN,N/A,75.990
FRIGORIFER SAMSUNG BRB26600EWW/EF,79.990,91.990
FRIGORIFER BEKO BCNA306E4SN,N/A,89.990
FRIGORIFER BOSCH GIV11AFE0,91.990,105.590
FRIGORIFER BOSCH KIR81AFE0,93.997,157.990
FRIGORIFER SAMSUNG BRB26713EWW/EF,94.990,112.990
FRIGORIFER LIEBHERR IRe 5100,94.997,149.990
FRIGORIFER LIEBHERR IFND 3954,N/A,124.990
FRIGORIFER LIEBHERR ISKG 5Z1ea3,N/A,126.490
FRIGORIFER MIELE FNS 4782 E,N/A,232.990
