Emri,Cmimi aktual,Cmimi i vjeter
AIO DELL INSPIRON 3280,39.997,78.990
PC HP AIO 24-CR0015NH 93F51EA,69.990,79.990
PC LENOVO AIO IDEACENTER 3 24ALC6 F0G10119RI,70.990,76.990
PC HP AIO 24-CR0013NH 9U5A8EA,78.990,83.990
PC LENOVO AIO IDEACENTER 3 27ALC6 F0FY00NXRI,78.990,83.990
PC LENOVO AIO IDEACENTER 3 27IAP7,105.990,115.990
PC AIO ASUS A3402WBAK-WA048W,106.990,123.990
PC LENOVO AIO IDEACENTRE 3 27ITL6,125.990,139.990
"Apple iMac 24"" - Blue mgpk3ze/a",149.997,209.990
"Apple iMac 24"" M3  - Blue 256GB mqrc3ze/a",159.990,184.990
HP POS ONE PRO 19.5L,N/A,189.990
"Apple iMac 24"" M3 - Pink 256GB mqrd3ze/a",N/A,209.990
"Apple iMac 24"" M3 - Silver 256GB mqr93ze/a",N/A,209.990
"Apple iMac 24"" M3 - Green 256GB mqra3ze/a",N/A,209.990
