Emri,Cmimi aktual,Cmimi i vjeter
KARTE MEMORIE SANDISK SDSQUA4-032G-GN6MA,N/A,790
KARTE MEMORIE SANDISK SDSQUNR-064G-GN3MN,N/A,890
KARTE MEMORIE SANDISK SDSQUAB-064G-GN6MA,N/A,990
KARTE MEMORIE SANDISK SDSQUNR-032G-GN3MN,N/A,990
KARTE MEMORIE SAMSUNG EVO PLUS MICROSD 64GB,N/A,1.490
KARTE MEMORIE SAMSUNG EVO PLUS FULLSD 64GB,N/A,1.490
KARTE MEMORIE SANDISK EXTREME SDSDXVT-032G-GNCIN,N/A,1.490
KARTE MEMORIE SANDISK SDSQUNR-128G-GN6MN,N/A,1.490
KARTE MEMORIE SAMSUNG EVO PLUS MICROSD 64GB,1.490,1.890
KARTE MEMORIE SANDISK SDSQUA4-128G-GN6MA,N/A,1.690
KARTE MEMORIE SANDISK EXTREME SDSDXV2-064G-GNCIN,N/A,1.990
KARTE MEMORIE SAMSUNG EVO PLUS MICROSD 128GB,N/A,2.190
KARTE MEMORIE SAMSUNG EVO PLUS FULLSD 128GB,N/A,2.490
KARTE MEMORIE SAMSUNG EVO PLUS MICROSD 128GB,N/A,2.490
KARTE MEMORIE SAMSUNG PRO PLUS MICROSD 128GB,N/A,2.490
KARTE MEMORIE SAMSUNG EVO PLUS MICROSD 256GB,N/A,3.290
KARTE MEMORIE SAMSUNG PRO PLUS MICROSD 128GB,N/A,3.490
KARTE MEMORIE SAMSUNG PRO PLUS MICROSD 256GB,N/A,4.490
KARTE MEMORIE SAMSUNG EVO PLUS MICROSD 256GB,N/A,5.290
KARTE MEMORIE SAMSUNG PRO PLUS MICROSD 256GB,N/A,5.290
KARTE MEMORIE SAMSUNG EVO PLUS MICROSD 512GB,N/A,6.690
KARTE MEMORIE SAMSUNG PRO PLUS MICROSD 512GB,N/A,8.990
