Emri,Cmimi aktual,Cmimi i vjeter
SSD INTENSO 128GB SATA III 3813430 INTERNAL,2.890,3.190
SSD INTENSO 128GB PREMIUM EDITION,2.890,3.490
SSD INTENSO 256GB PREMIUM EDITION,N/A,3.990
SSD INTENSO 3.2 250GB EXTERNAL USB-C,4.690,4.790
SSD VERBATIM EXTERNAL 512GB STORE'N'GO USB 3.2,N/A,5.290
SSD SAMSUNG 980 NVMe 500GB,5.990,6.990
SSD INTENSO BUSINESS 3.1 500GB External USB-C,6.490,7.590
SSD INTENSO 3.2 500GB EXTERNAL USB-C,6.790,6.990
SSD SAMSUNG EVO 870 500GB INTERNAL,N/A,6.990
SSD WD Elements SE 480GB,7.897,10.590
SSD SAMSUNG T7 PORTABLE 500GB GRAY,8.490,9.990
SSD SAMSUNG T7 PORTABLE 500GB BLUE,8.490,9.990
SSD SAMSUNG 980 NVMe 1TB,10.990,12.990
SSD SANDISK EXTREME PORTABLE 500GB,10.990,12.990
SSD SANDISK PORTABLE 480GB USB 3.2 GEN 2,11.990,13.990
SSD SAMSUNG EVO 870 1TB INTERNAL,N/A,12.990
SSD SAMSUNG T7 PORTABLE 1TB BLUE,12.990,14.990
SSD SAMSUNG T7 PORTABLE 1TB RED,12.990,14.990
SSD SAMSUNG T7 PORTABLE 1TB GRAY,12.990,14.990
SSD SAMSUNG T7 SHIELD 1TB BLACK,13.990,15.990
SSD WD 500GB D30 Game Drive,13.990,16.490
SSD SAMSUNG 980 PRO NVMe 1TB,N/A,15.990
SSD SANDISK ULTRA 3D 250GB INTERNAL,15.990,17.990
SSD SANDISK PORTABLE 1TB USB 3.2 GEN 2,15.990,18.990
SSD SANDISK EXTREME PORTABLE 1TB,19.990,22.990
SSD SAMSUNG T7 PORTABLE 2TB BLUE,20.990,23.990
SSD SAMSUNG T7 PORTABLE 2TB GRAY,20.990,23.990
SSD WD 1TB D30 Game Drive,20.990,25.990
SSD WD SN850 1TB,21.990,27.990
SSD SAMSUNG T7 SHIELD 2TB BLACK,22.990,25.990
SSD SAMSUNG T7 SHIELD 2TB BLUE,22.990,25.990
SSD WD 1TB P50 Game Drive,31.990,39.990
SSD WD SN850 2TB,43.990,53.990
