Emri,Cmimi aktual,Cmimi i vjeter
USB INTENSO RAINBOW LINE 2.0 4GB,N/A,390
USB INTENSO RAINBOW LINE 2.0 16GB,N/A,490
USB INTENSO ALU LINE 2.0 8GB,N/A,490
USB INTENSO RAINBOW LINE 2.0 8GB,N/A,490
USB INTENSO BASIC LINE 2.0 8GB,N/A,490
USB INTENSO ALU LINE 2.0 16GB,N/A,590
USB INTENSO SPEED LINE 3.2 16GB,N/A,590
USB INTENSO BASIC LINE 2.0 16GB,N/A,590
USB SANDISK CRUSER BLADE 32GB,N/A,590
USB INTENSO RAINBOW LINE 2.0 32GB,N/A,690
USB INTENSO SPEED LINE 3.2 32GB,N/A,690
USB INTENSO ULTRA LINE 3.0 16GB,N/A,690
USB INTENSO ALU LINE 2.0 32GB,N/A,690
USB INTENSO BASIC LINE 2.0 32GB,N/A,690
USB SANDISK ULTRA CURVE USB 3.2 32GB GREEN,N/A,690
USB SANDISK ULTRA CURVE USB 3.2 32GB BLUE,N/A,690
USB SANDISK ULTRA 3.0 32GB,690,790
USB INTENSO ULTRA LINE 3.0 32GB,N/A,790
USB INTENSO RAINBOW LINE 2.0 64GB,N/A,790
USB INTENSO ALU LINE 2.0 64GB,N/A,790
USB SANDISK CRUSER BLADE 64GB,N/A,790
USB SANDISK ULTRA FIT 3.1 32GB,790,890
USB SANDISK ULTRA FLAIR 32GB,N/A,890
USB SANDISK ULTRA 3.0 64GB,890,990
USB SANDISK ULTRA FIT 3.1 64GB,890,1.090
USB SANDISK ULTRA CURVE USB 3.2 64GB GREEN,N/A,990
USB SANDISK ULTRA CURVE USB 3.2 64GB BLUE,N/A,990
USB SANDISK ULTRA DUAL DRIVE GO TYPE-C 32GB,990,1.190
USB INTENSO ULTRA LINE 3.0 64GB,N/A,1.090
USB SANDISK ULTRA FLAIR 64GB,N/A,1.090
USB SANDISK ULTRA DUAL DRIVE GO TYPE-C 64GB,1.190,1.490
USB INTENSO RAINBOW LINE 2.0 128GB,N/A,1.290
USB INTENSO ALU LINE 2.0 128GB,N/A,1.290
USB SANDISK ULTRA DUAL DRIVE TYPE-C 64GB,1.290,1.490
USB SANDISK ULTRA DUAL DRIVE TYPE-C 32GB,N/A,1.390
USB INTENSO RAINBOW LINE 2.0 2X64GB,N/A,1.490
USB SANDISK ULTRA 3.0 128GB,1.490,1.690
USB SANDISK ULTRA FIT 3.1 128GB,1.490,1.690
USB SAMSUNG FIT PLUS 3.1 64GB GRAY,1.590,1.890
USB SAMSUNG BAR PLUS 3.1 64GB GRAY,1.690,1.890
USB SAMSUNG BAR PLUS 3.1 64GB SILVER,1.690,1.890
USB SANDISK ULTRA DUAL DRIVE TYPE-C 128GB,1.690,2.190
USB SAMSUNG TYPE C 64GB BLUE,N/A,1.890
USB SANDISK ULTRA FLAIR 128GB,N/A,1.990
USB SANDISK ULTRA DUAL DRIVE GO TYPE-C 128GB,2.090,2.490
USB SAMSUNG TYPE C 128GB BLUE,2.690,2.990
USB SAMSUNG FIT PLUS 3.1 128GB GRAY,2.690,3.190
USB SAMSUNG BAR PLUS 3.1 128GB SILVER,2.790,3.190
USB SAMSUNG BAR PLUS 3.1 128GB GRAY,2.790,3.190
USB SANDISK ULTRA 3.0 256GB,2.790,3.190
SanDisk ImageMate PRO USB-C Reader/Writer,3.990,4.990
USB SANDISK ULTRA 3.0 512GB,4.690,4.990
USB SANDISK IXPAND DRIVE GO 3.0 128GB,4.690,5.490
USB SAMSUNG BAR PLUS 3.1 256GB GRAY,4.790,5.490
USB SAMSUNG BAR PLUS 3.1 256GB SILVER,4.790,5.490
