Emri,Cmimi aktual,Cmimi i vjeter
KABELL RRJETI S-LINK CAT 6 1M,150,190
KABELL RCA-JACK HAMA 30455,157,590
BATERI DURACELL LR54 1.5V 2,N/A,190
KABELL RRJETI S-LINK SL-CAT601TR CAT 6 1M PORT,N/A,190
KABELL RRJETI S-LINK CAT 6 1M GREEN,N/A,190
KABELL RRJETI S-LINK CAT6 2M SL-CAT602 W,190,390
BATERI DURACELL LR44 1.5V 2,N/A,250
KABELL PRINTERI HAMA 1.5M 200900,N/A,290
KABELL RRJETI S-LINK CAT 6 2M BLUE,N/A,290
KABELL RRJETI HAMA 200916 3M CAT-5e,290,390
KABELL HDMI ETHERNET MANHATTAN 2M 323215,290,490
ZGJATUES USB2.0 S-LINK SL-AF2015 1.5M W,290,490
MOUSE PAD WHITE SHARK MP-1882 FACELESS ORACLE,310,390
KABELL MONITOR VGA  20185 1.8M,357,890
BATERI DURACELL CR2032,390,390
KABELL USHQIMI LOGILINK C13 1.8M,390,590
DEZINFEKTAT PASTRUES KOMPIUTERI DF SPRAY+LECKE PASTRIMI,390,790
KABELL RRJETI HAMA 200917 5M CAT-5e,390,890
BATERI DURACELL CR2016 2 COIN,N/A,490
KABELL RRJETI S-LINK CAT 6 2M RED,N/A,490
KABELL RRJETI S-LINK SL-CAT602YE CAT 6 2M YEL,N/A,490
KABELL MONITOR VGA HAMA 200932,490,690
MBESHTETESE KYCESH WHITE SHARK PER 45X10CM KP-1899,490,690
LETER A4 JK COPY 80G,490,790
KABELL RRJETI CAT6 S-LINK 3M,490,790
MIKROFON SNOPY SN-120M BLACK,490,990
KABELL RRJETI S-LINK SL-CAT605 CAT 6 5M WHI,N/A,590
KABELL USHQIMI HAMA 200733,590,890
MIKROFON SNOPY LAVALIER SN-M15 3.5 AUX,590,990
ADAPTOR USB HUB 4 PORTA HAMA,590,1.190
ADAPTOR HAMA VGA-DVI M/F FULL HD 200341,597,990
ADAPTOR S-LINK MINI DISPLAY PORT - DVI SL-MD85,657,1.190
BATERI DURACELL BASIC AAA*6,N/A,690
BATERI DURACELL BASIC AA*6,N/A,690
MIKROFON SNOPY SN-140M 3.5MM PLUG,690,990
KABELL HAMA DVI-DVI 1.8M 20156,697,1.190
ADAPTOR HAMA VGA-DVI  45074,697,1.690
BATERI DURACELL OPTIMUM AAA*4,N/A,750
BATERI DURACELL OPTIMUM AA*4,N/A,750
BATERI DURACELL OPTIMUM AAA*6,N/A,850
BATERI DURACELL OPTIMUM AA*6,N/A,850
BATERI DURACELL AAA*8 LR3 MN2,N/A,890
BATERI DURACELL BASIC AA 8 LR6MN1500,N/A,890
KABELL USHQIMI HAMA 3PIN IEC 1.5M 200737,N/A,990
KABELL DISPLAY TO HDMI S-LINK 1.8M W,N/A,990
ADAPTOR S-LINK USB 2.0 - 4 PORT HUB SW-U212,N/A,990
ADAPTOR S-LINK SL-U60 USB 2.0 - RJ45 ETHERNET,990,1.490
MIKROFON SNOPY SN-110M LED LIGHT USB,990,1.590
KABELL MINI DISPLAY PORT 54563,997,1.797
KABELL RRJETI S-LINK SL-CAT615 CAT 6 15M WHI,N/A,1.190
"FTOHES LAPTOP ADDISON ANC-40D 15.6""",1.270,1.590
ADAPTOR S-LINK TYPE C TO VGA,1.297,2.490
ADAPTOR USB HUB S-LINK SL-USB-C63,1.297,3.190
"KARIKUES ROSI 2USB 2,1 A",N/A,1.490
ADAPTOR HAMA USB-C - 3.5mm JACK 201524,N/A,1.490
KABELL DISPLAY PORT-HDMI 4K HAMA 1.5M,N/A,1.590
ADAPTOR TYPE-C TO HDMI S-LINK SWV-USBC028,N/A,1.590
KABELL RRJETI S-LINK SL-CAT630 CAT 6 30M WHI,N/A,1.990
ADAPTOR HAMA VGA+USB - HDMI 200342,2.190,2.990
ADAPTOR VGA+USB - HDMI,2.197,3.790
"FTOHES LAPTOP RAMPAGE AD-RC8 15-17""",2.310,2.890
ADAPTOR HDMI - VGA M/F 00200343,N/A,2.490
SET ADAPTOR MINI DISPLAY - HDMI VGA,2.497,5.597
ADAPTOR S-LINK SL-UTY1005 TYPE-C TO RJ45 NETWORK,N/A,2.990
ADAPTOR APPLE USB-C TO USB,2.990,3.690
ADAPTOR USB-C TO VGA/USB3.0/USB-C SL-USB-C66,3.190,4.890
MBAJTESE PROJEKTORI MELICONI PRO100  BLACK,N/A,3.290
ADAPTOR USB-C TO HDMI/USB3.0/USB-C SW-U515,N/A,3.590
ADAPTOR SWISSTEN USB-C HUB 4-IN-1 ALUMINIUM,N/A,3.890
KARIKUES APPLE WATCH MAGNETIC USB-C mlwj3zm/a,4.990,5.990
ADAPTOR APPLE LIGHTING TO VGA,4.997,8.990
KARIKUES LAPTOPI PRIMO UNIVERSAL 19V-90W TRUST,N/A,5.990
ADAPTOR APPLE TYPE C 30W Macbook,N/A,5.990
ADAPTOR APPLE LIGHTING DIGITAL AV,6.990,7.990
ADAPTOR SWISSTEN USB-C HUB 8-IN-1 ALUMINIUM,6.990,7.990
ADAPTOR APPLE USB-C MULTIPORT,8.497,10.990
ADAPTOR APPLE USB-C 70W mxn53zm/a,N/A,8.990
ADAPTOR MULTIPORT TRAVEL HP 1C1Y5AA,N/A,10.990
"ADAPTOR APPLE USB-C 96W MacBook Pro 16"" mw2l3zm/a",N/A,11.990
ADAPTOR MULTIPORT UNIVERSAL HP 50H98AA,11.990,13.990
HyperDrive GEN2 6-Port USB-C Hub (HD-G206),12.997,16.390
