Emri,Cmimi aktual,Cmimi i vjeter
ADAPTER TP-LINK TL-WN725N 150Mbps Wi-Fi,N/A,990
SWITCH TP-LINK TL-SF1005D FAST,N/A,1.290
SWITCH TP-LINK TL-SF1008D SF1008D 8-PORT,N/A,1.450
Mi Router 4C (White) 25091,N/A,1.790
EXTENDER TP-LINK TL-WA854RE 300Mbps Wi-Fi,N/A,1.990
ROUTER MI XIAOMI 4A 25090,1.997,2.490
SWITCH TP-LINK TL-SG1005D 5-PORTA GIGABIT,N/A,2.350
Xiaomi  Mi WiFi Range Extender AC1200 EU 41335,N/A,2.490
XIAOMI MI SMART HOME HUB,2.897,3.990
SWITCH TP-LINK TL-SG1008D 8-PORTA GIGABIT,N/A,2.990
EXTENDER TP-LINK RE190 AC750 (DUAL BAND),N/A,3.190
ROUTER TP-LINK ARCHER C24 AC1200 WI-FI,N/A,3.190
ROUTER TP-LINK ARCHER C64,N/A,4.990
ROUTER TP-LINK ARCHER AX12 AX1500 (Wi-Fi 6),N/A,6.990
ROUTER TP-LINK ARCHER AX23 (Wi-Fi 6),N/A,7.990
ROUTER TP-LINK ARCHER AX50 AX3000 (Wi-Fi 6),N/A,9.900
