Emri,Cmimi aktual,Cmimi i vjeter
"TABLET SHKRIMI XIAOMI MI LCD 13.5""",1.990,2.990
"TABLET SHKRIMI XIAOMI MI LCD 13.5"" ME NGJYRA",2.490,3.590
LENOVO TABLET TAB M8 WiFi 3/32GB ARCTIC GREY,9.990,12.990
LENOVO TABLET TAB M8 4G LTE 3/32GB ARCTIC GRAY,12.990,15.990
"TABLET XIAOMI REDMI PAD SE 8.7"" GRAPHITE GRAY 64GB",N/A,13.990
SAMSUNG GALAXY TAB A7 LITE WIFI 32GB GRAY,13.990,19.990
SAMSUNG GALAXY TAB A7 LITE WIFI 32GB SILVER,13.990,19.990
SAMSUNG GALAXY TAB A9 WIFI 64GB GRAY,14.990,18.990
SAMSUNG GALAXY TAB A9 WIFI 64GB SILVER,14.990,18.990
LENOVO TABLET TAB M10 Wifi 4/64GB STORM GRAY,16.990,19.990
SAMSUNG GALAXY TAB A9 LTE 64GB GRAY,17.990,21.990
SAMSUNG GALAXY TAB A7 LITE LTE 32GB GRAY,17.990,22.990
SAMSUNG GALAXY TAB A7 LITE LTE 32GB SILVER,17.990,22.990
LENOVO TABLET TAB M10 4G LTE 4/64GB STORM GRAY,19.990,22.990
SAMSUNG GALAXY TAB A9+ WIFI 64GB GRAY,19.990,24.990
SAMSUNG GALAXY TAB A9+ WIFI 64GB SILVER,19.990,24.990
SAMSUNG GALAXY TAB A8 WIFI 32GB SILVER,19.990,26.990
SAMSUNG GALAXY TAB A8 WIFI 32GB GRAY,19.990,26.990
SAMSUNG GALAXY TAB A8 WIFI 64GB GRAY,19.990,29.990
TABLET XIAOMI REDMI PAD SE WIFI 128GB GRAPHITE,20.990,22.990
SAMSUNG GALAXY TAB A9 WIFI 128GB GRAY,21.990,24.990
TABLET XIAOMI REDMI PAD WIFI 128GB MINT GREEN,22.990,26.990
SAMSUNG GALAXY TAB A8 LTE 32GB SILVER,24.990,31.990
SAMSUNG GALAXY TAB A8 LTE 64GB SILVER,24.990,34.990
SAMSUNG GALAXY TAB A8 LTE 64GB GRAY,24.990,34.990
TABLET SAMSUNG TAB ACTIVE 2 SM-395,24.997,49.997
SAMSUNG GALAXY TAB A9+ WIFI 128GB GRAY,25.990,31.990
SAMSUNG GALAXY TAB A9+ 5G 64GB GRAY,27.990,36.990
SAMSUNG GALAXY TAB A9+ 5G 64GB SILVER,27.990,36.990
SAMSUNG GALAXY TAB A9+ 5G 128GB GRAY,29.990,39.990
TABLET SAMSUNG S6 LITE P610 Blue,29.997,43.990
iPad mini 5 wi-fi 64 GB Silver,29.997,62.990
SAMSUNG GALAXY TAB S6 LITE WIFI 64GB BLUE,33.990,48.990
SAMSUNG GALAXY TAB S6 LITE WIFI 64GB GRAY,33.990,48.990
SAMSUNG GALAXY TAB S6 LITE LTE 64GB BLUE,37.990,58.990
SAMSUNG GALAXY TAB S6 LITE LTE 64GB GRAY,37.990,58.990
TABLET SAMSUNG TAB S7 WIFI MYSTIC BLACK,39.997,79.997
TABLET SAMSUNG TAB S7 LTE MYSTIC SILVER,44.997,89.997
Apple 10.9-inch iPad (10th) Wi-Fi 64GB Silver,49.990,69.990
Apple 10.9-inch iPad (10th) Wi-Fi 64GB Blue,49.990,69.990
Apple iPad mini 6 Wi-Fi 64GB - Pink,54.997,79.990
Apple iPad mini 6 Wi-Fi 64GB - Space Grey,54.997,79.990
Apple iPad mini 6 Wi-Fi 64GB - Starlight,54.997,79.990
SAMSUNG GALAXY TAB S9 FE WIFI 128GB GRAY,59.990,61.990
Apple 10.9-inch iPad Air 5 Wi-Fi 64GB - Space Grey,69.997,101.990
Apple iPad mini 6 Cellular 64GB - Space Grey,69.997,103.990
Apple iPad mini 6 Cellular 64GB - Starlight,69.997,103.990
Apple 11-inch iPad Air M2 Wi-Fi 128GB Purple,N/A,85.990
Apple 11-inch iPad Air M2 Wi-Fi 128GB Space Grey,N/A,85.990
Apple 11-inch iPad Air M2 Wi-Fi 128GB Starlight,N/A,85.990
SAMSUNG GALAXY TAB S9 5G 128GB GRAY,94.990,117.990
SAMSUNG GALAXY TAB S9 5G 128GB BEIGE,94.990,117.990
SAMSUNG GALAXY TAB S8+ 5G 128GB GRAY,104.997,129.990
SAMSUNG GALAXY TAB S9+ WIFI 256GB GRAY,107.990,124.990
Apple 13-inch iPad Air M2 Wi-Fi 128GB S.Grey Demo,N/A,114.990
Apple 11-inch iPad Pro (4th) 128GB Space Grey,115.990,126.990
SAMSUNG GALAXY TAB S9+ 5G 256GB GRAY,120.990,141.990
Apple 13-inch iPad Air M2 Wi-Fi 256GB Space Grey,N/A,127.990
SAMSUNG GALAXY TAB S9 ULTRA 5G 256GB GRAY,134.990,166.990
Apple 11-inch iPad Pro M4 WiFi 256GB with Standard glass Space Black,N/A,139.990
"Apple iPad Pro 12.9"" Wi-Fi+Celular 256GB SpaceGray",149.997,189.990
Apple 12.9-inch iPad Pro (6th) 256GB - Space Grey,166.990,179.990
Apple 11-inch iPad Pro M4 WiFi 512GB with Standard glass Space Black,N/A,169.990
Apple 12.9-inch iPad Pro (6th) 128GB - Space Grey,170.990,186.990
Apple 13-inch iPad Pro M4 WiFi 256GB with Standard glass Space Black,N/A,180.990
