Emri,Cmimi aktual,Cmimi i vjeter
VENTILATOR FUEGO OUSF-40B(1),1.990,2.990
VENTILATOR FUEGO 40B,2.290,2.990
VENTILATOR FIRST AUSTRIA FA-5553-1,2.490,2.990
VENTILATOR FUEGO 40D,N/A,2.990
VENTILATOR FIRST AUSTRIA FA-5551-GR,3.290,3.990
VENTILATOR FUEGO TF802,3.490,4.990
VENTILATOR FUEGO OUSF-45-3-1,3.490,4.990
VENTILATOR FIRST AUSTRIA FA-5560-1,5.790,6.990
VENTILATOR FUEGO OUIF-750A,6.890,9.990
VENTILATOR ROWENTA VU2310F0,8.190,9.990
VENTILATOR ROWENTA VU4410F0,10.490,12.990
VENTILATOR ROWENTA VU6210F0,10.490,12.990
VENTILATOR ROWENTA VU2730F0,11.490,13.990
VENTILATOR ROWENTA VU4420F0,14.990,17.990
