Emri,Cmimi aktual,Cmimi i vjeter
BICIKLETE FUEGO EL NINJO GB10.5-16 BLACK/YELLOW,7.990,12.490
BICIKLETE FUEGO PRINCESA GB10.5-16 WHITE/PIN,7.990,12.490
BICIKLETE FUEGO EL NINJO GB10.5-16 GREEN/ORANGE,7.990,12.490
BICIKLETE FUEGO CORREDORA GB17-24 RED,16.890,25.990
BICIKLETE FUEGO CORREDORA GB17-26 RED,16.890,25.990
BICIKLETE FUEGO DESTINO RS17-26 TURQUESA,17.490,26.990
BICIKLETE FUEGO DAMA RS17-26 WHITE,18.890,28.990
BICIKLETE FUEGO EL LEON GB19-27.5 ORANGE,19.490,29.990
BICIKLETE FUEGO PREDATOR GB21-29 GRAY,19.490,29.990
BICIKLETE FUEGO BELLEZA GB16-26 PINK,19.490,29.990
BICIKLETE FUEGO PREDATOR GB20-27.5 GRAY,19.490,29.990
BICIKLETE FUEGO EL LEON GB21-29 ORANGE,20.790,31.990
BICIKLETE FUEGO FANTASMO GB17-24 BLUE,21.990,33.990
BICIKLETE FUEGO FANTASMO GB19-26 BLUE,21.990,33.990
BICIKLETE FUEGO EXTRAVAGANTE GB19-27.5 GRAY RED,23.390,35.990
BICIKLETE FUEGO EXTRAVAGANTE GB19-27.5 GREEN/BLACK,23.390,35.990
BICIKLETE FUEGO EXTRAVAGANTE GB21-29 GRAY/ORANGE,23.390,35.990
BICIKLETE FUEGO CLASICO GB50-28 BLACK,29.890,45.990
