Emri,Cmimi aktual,Cmimi i vjeter
KABELL SWISSTEN LIGHT 1.2M Blue,357,790
KABELL HAMA HIGH SPEED HDMI GOLD 1.5M 11910,457,990
KABELL HAMA HDMI HIGH SPEED 1.5M 205444,490,890
KABELL KARIKIMI XIAOMI MI 2IN1 USB-MIC. TO TYPE-C,497,990
KABELL HYTECH LIGHTNING HY-X91 1M 2A,N/A,590
KABELL S-LINK TYPE C 2.4A SL-X243 White,N/A,590
KABELL S-LINK MICRO 2A SL-X201 White,N/A,590
KABELL SWISSTEN LIGHT 1.2M Silver,590,790
KABELL SWISSTEN MICRO 1M Black,590,790
KABELL SWISSTEN LIGHT 1.2M Black,590,790
KABELL KARIKIMI HAMA TYPE-C - TYPE-C 183330,597,1.790
KABELL HAMA USB - MICRO 173610,690,990
KABELL XIAOMI MI TYPE-C BLACK,690,1.190
KABELL HYTECH HY-XPD20 PD 1M USB-C - LIGHTNING,N/A,790
KABELL KARIKIMI HAMA TYPE-C - TYPE-C 201589,790,1.190
KABELL JACK 3.5MM 2M HAMA,797,1.590
KABELL HYTECH TYPE-C TO TYPE-C HY-XTP10 1M 3A,N/A,890
KABELL XIAOMI MI USB-C 1M WHITE 28975,N/A,890
KABELL SWISSTEN USB C 1.2M SILVER,N/A,890
KABELL SWISSTEN USB C 1.2M BLACK,N/A,890
KABELL SWISSTEN USB-C - LIGHT 1M Black,N/A,990
KABELL SWISSTEN USB-C - USB-C 1M Black,N/A,990
KABELL KARIKIMI HAMA TYPE-C - LIGHTNING 183295,1.097,2.290
KABELL XIAOMI MI TYPE-C RED,N/A,1.290
KABELL APPLE LIGHTNING - USB 1M mxly2zm/a,1.497,3.590
KABELL XIAOMI MI USB TYPE-C TO TYPE-C,N/A,1.590
KABELL JACK 3.5MM 2M HAMA 201526,N/A,1.590
KABELL SAMSUNG TYPE-C TO TYPE-C WHITE,N/A,1.690
KABELL SAMSUNG TYPE-C TO TYPE-C BLACK,N/A,1.690
KABELL SAMSUNG TYPE-C TO TYPE-C WHITE 1.8M,N/A,1.690
KABELL SAMSUNG TYPE-C TO TYPE-C BLACK 1.8M,N/A,1.690
KABELL SAMSUNG USB - USB-C 1.5M BLACK,N/A,1.690
KABELL HAMA USB-C - LIGHTNING 1M WHITE 00201598,N/A,1.690
KABELL HAMA USB-LIGHTNING 1.5M BLACK,N/A,1.690
KABELL HAMA USB-LIGHTNING 200623,N/A,1.790
KABELL APPLE LIGHTNING - USB-C 1M,2.297,3.990
KABELL APPLE LIGHTNING - USB 2M md819zm/a,2.497,4.890
KABELL HDMI HAMA 10M 205009,2.790,3.990
KABELL APPLE WOVEN 60W USB-C 1M mqkj3zm/a,2.990,3.590
KABELL APPLE LIGHTNING - USB-C 2M mqgh2zm/a,3.197,5.990
KABELL APPLE LIGHTNING - USB 1M muqw3zm/a,N/A,3.590
KABELL APPLE USB-C - LIGHTNING 1M,N/A,3.990
KABELL APPLE 240W USB-C CHARGER 2M MU2G3ZM/A,3.990,4.590
KABELL APPLE LIGHTNING - USB-C 2M mw2r3zm/a,N/A,4.690
