Emri,Cmimi aktual,Cmimi i vjeter
KARIKUES SWISSTEN 2.1 A 2USB +KABELL MICRO,497,990
KARIKUES MAKINE HYTECH HY-X40 3.4A 2 USB W,590,890
KARIKUES ASONIC 2.1A AS-X220,590,890
KARIKUES SWISSTEN 1A+KABELL LIGHT White,590,890
KARIKUES MI SMART BAND 5/6,597,990
KARIKUES MAKINE SWISSTEN USB-C 2.4A,690,1.390
KARIKUES S-LINK 2USB 2SB+KABELL MICRO USB 5V 2.1A,697,1.490
KARIKUES MAKINE S-LINK IP-805 2.4A 2USB,N/A,790
KARIKUES WIRELESS MANHATTAN QI 5W 180306,797,1.790
KABELL KARIKIMI HAMA USB-C 1M 201594,N/A,890
KARIKUES SWISSTEN 2x USB 2.1A + MICRO USB 1.2M W,890,1.290
KARIKUES S-LINK + KABELL 2A LIGHTNING SL-EC10L,890,1.390
SET KARIKUES HAMA ADAPTOR+KABELL+CAR MICRO USB,897,1.990
KARIKUES XIAOMI MI 20W USB-C 31569,990,1.490
KARIKUES SAMSUNG 15W USB EP-TA20EWENGEU,997,1.690
KARIKUES SAMSUNG 15W USB EP-TA20EBENGEU,997,1.690
KARIKUES FAST CH C QUALCOMM,1.097,1.990
KARIUKES SWISSTEN 1x USB+USB-C 1.2M White,N/A,1.190
KARIKUES MAKINE HAMA TYPE-C 20W 201637,1.190,1.790
KARIKUES HAMA USB-A/C + KABELL TYPE-C 30W,1.197,2.390
KARIKUES TELLUR 20W (Type-A+Type-C) PDHC101,N/A,1.290
KARIKUES S-LINK 18W + KABELL USB-C 2.4A SL-EC13T,N/A,1.290
KARIKUES SAMSUNG 15W+KABELL TYPE-C EP-T1510XBEGEU,1.297,1.990
KARIKUES WIRELESS HAMA FC10 METAL E BARDHE,1.297,3.290
KARIKUES HYTECH HY-XE40PD 20W+KABELL LIGHTNING,1.390,1.990
KARIKUES SAMSUNG 15W+KABELL TYPE-C EP-TA20EWECGWW,1.397,1.990
KARIKUES SAMSUNG 15W+KABELL TYPE-C EP-TA20EBECGWW,1.397,1.990
KARIKUES LIGHTING HAMA 2.4A W 183265,1.397,2.390
KARIKUES SWISSTEN 2x USB 2.1A + USB-C 1.2M W,N/A,1.490
KARIKUES WIRELESS SWISSTEN 10W WHITE,1.490,2.390
KARIKUES MAKINE+KABELL LIGHTNING 2.4A HAMA 183266,1.497,2.890
KARIKUES S-LINK TYPE-C SL-EC62 1PD 20W,N/A,1.690
KARIKUES MAKINE SWISSTEN USB-C+USB 3.0 36W METAL B,N/A,1.690
KARIKUES HYTECH TYPE-C HY-XE40 20W,N/A,1.790
KARIKUES QUALCOMM 3.0 4xUSB-A 33W BLACK 201629,N/A,1.790
KARIKUES MAKINE HAMA USB-C/USB-A QC 38W METAL,1.790,2.390
KARIKUES XIAOMI MI WIRELESS STAND 20W,1.790,2.590
KARIKUES SAMSUNG 15W USB-C EP-T1510NWEGEU,N/A,1.990
KARIKUES SWISSTEN USB-C 25W BLACK,N/A,1.990
KARIKUES WIRELESS SAMSUNG EP-P1300BWEGEU,2.297,3.990
KARIKUES SAMSUNG 25W USB-C BALCK EP-T2510NBEGEU,N/A,2.390
KARIKUES SAMSUNG 25W USB-C WHITE EP-T2510NWEGEU,N/A,2.390
KARIKUES HAMA USB-C + KABELL TYPE-C 25W,N/A,2.390
KARIKUES XIAOMI MI 33W (Type-A+Type-C) EU 32427,N/A,2.490
KARIKUES MAKINE HAMA+KABELL LIGHTNING 12W 1M WHITE,N/A,2.490
KARIKUES WIRELESS HAODI 3 NE 1 PER SAMSUNG,N/A,2.590
ADAPTOR APPLE 20W USB-C mhje3zm/a,2.597,3.590
KARIKUES MAKINE ME BLUETOOTH 2 USB HAMA 14164,N/A,2.690
KARIKUES WIRELESS HAMA QI-FC10 METAL,N/A,2.690
KARIKUES KSIX MAGCHARGE 15W 1M,2.997,4.990
KARIKUES WIRELESS SAMSUNG EP-P2400BBEGEU,3.190,3.990
KARIKUES WIRELESS HAODI 3 NE 1 HD-WG01,N/A,3.390
KARIKUES SAMSUNG 25W+KABELL USB-C EP-T2510XBEGEU,N/A,3.390
KARIKUES SAMSUNG 25W+KABELL USB-C EP-T2510XWEGEU,N/A,3.390
KARIKUES WIRELESS SAMSUNG DUO EP-P4300BBEGEU,3.397,7.390
KARIKUES MAKINE SAMSUNG 40W DUO EP-L4020NBEGEU,N/A,3.490
KARIKUES SAMSUNG 25W+KABELL TYPE-C EP-TA800XWEGWW,N/A,3.490
KARIKUES SAMSUNG 25W+KABELL TYPE-C EP-TA800XBEGWW,N/A,3.490
ADAPTOR APPLE 20W USB-C muvv3zm/a,N/A,3.590
KARIKUES KSIX 20W + MAGCHARGE E BARDHE,3.897,6.590
KARIKUES XIAOMI 120W COMBO (Type-A) EU 40034,4.497,4.990
KARIKUES SAMSUNG 45W+KABELL TYPE-C EP-T4511XBEGEU,N/A,4.990
KARIKUES SAMSUNG 45W+KABELL TYPE-C EP-T4510XBEGEU,N/A,4.990
KARIKUES XIAOMI GaN TECH 65W,N/A,4.990
KARIKUES XIAOMI WIRELESS STAND 50W,5.897,6.990
KARIKUES APPLE WIRELESS MAGSAFE mhxh3zm/a,N/A,6.490
KARIKUES WIRELESS SAMSUNG DUO EP-P5400BBEGEU,N/A,7.490
