Emri,Cmimi aktual,Cmimi i vjeter
KUFJE TELLUR 3.5MM URBAN BLACK,N/A,690
KUFJE TELLUR 3.5MM URBAN WHITE,N/A,690
KUFJE SONY MDRE9LPL.AE,N/A,690
KUFJE SONY MDRE9LPB.AE,N/A,690
KUFJE SONY MDRE9LPP.AE,N/A,690
KUFJE SONY MDRE9LPH.AE,N/A,690
XIAOMI MI INEAR HEADPHONES  BASIC BLACK,N/A,790
KUFJE TRUST PRIMO,N/A,990
KUFJE FUEGO T29 BLACK,990,1.690
KUFJE FUEGO T29 WHITE,990,1.690
KUFJE AKAI BTH-P23,997,2.290
KUFJE SONY MDREX15LPLI.AE,N/A,1.090
KUFJE TELLUR ATTUNE TYPE-C BLACK,N/A,1.190
KUFJE TELLUR ATTUNE TYPE-C WHITE,N/A,1.190
KUFJE STEREO SAMSUNG EO-IA500BBEGWW,N/A,1.290
KUFJE SONY MDREX15APPI.CE7,N/A,1.390
KUFJE SONY MDREX15APW.CE7,N/A,1.390
KUFJE SONY MDREX15APLI.CE7,N/A,1.390
KUFJE SONY MDREX155APB.AE,N/A,1.390
KUFJE SONY MDREX15APB.CE7,N/A,1.390
KUFJE FUEGO T26 PRO BLACK,N/A,1.490
KUFJE FUEGO T51 WHITE,N/A,1.490
KUFJE FUEGO T26 PRO WHITE,N/A,1.490
KUFJE FUEGO T51 BLACK,N/A,1.490
KUFJE SONY MDRZX110P.AE,1.490,1.990
KUFJE SONY MDRZX110B.AE,1.490,1.990
KUFJE SONY MDRZX110W.AE,1.490,1.990
KUFJE AKAI TWS BT BTE-J101,1.497,2.990
REDMI BUDS 3 LITE BLACK 36103,1.497,2.990
KUFJE FUEGO T13 PRO WHITE,N/A,1.590
KUFJE FUEGO T13 PRO BLACK,N/A,1.590
XIAOMI REDMI BUDS 4 LITE WHITE 44483,1.690,2.490
XIAOMI REDMI BUDS 4 LITE BLACK 46432,1.690,2.490
KUFJE SAMSUNG IN EAR EO-IC100 BLACK USB C,1.790,2.490
KUFJE SAMSUNG IN EAR EO-IC100 WHITE USB C,1.790,2.490
KUFJE BLUETOOTH TELLUR PULSE BLACK,N/A,1.890
KUFJE SONY MDRZX310APB.CE7,1.890,3.190
KUFJE SONY MDRZX310APW.CE7,1.890,3.190
KUFJE SONY MDRZX310APR.CE7,1.890,3.190
KUFJE SONY MDRZX310APL.CE7,1.890,3.190
KUFJE BLUETOOTH TELLUR FLIP WHITE,N/A,1.990
KUFJE BLUETOOTH TELLUR FLIP BLACK,N/A,1.990
KUFJE SONY MDRZX110APW.CE7,1.990,2.690
KUFJE SONY MDRZX110APB.CE7,1.990,2.690
KUFJE SONY MDRZX110APP.CE7,1.990,2.690
KUFJE SONY MDRZX310L.AE,1.990,2.790
KUFJE SONY MDRZX310R.AE,1.990,2.790
KUFJE SONY MDRZX310B.AE,1.990,2.790
KUFJE SONY MDRZX310W.AE,1.990,2.790
APPLE EARPODS LIGHTING,1.990,2.990
APPLE EARPODS USB-C,1.990,2.990
XIAOMI REDMI BUDS 4 ACTIVE BLACK 45255,1.990,2.990
KUFJE AKAI BTH-B6ANC,2.197,4.490
DEFUNC TRUE BASIC EARBUDS GREEN,2.990,3.990
DEFUNC TRUE BASIC EARBUDS BLUE,2.990,3.990
DEFUNC TRUE BASIC EARBUDS PINK,2.990,3.990
DEFUNC TRUE BASIC EARBUDS BLACK,2.990,3.990
DEFUNC TRUE BASIC EARBUDS RED,2.990,3.990
DEFUNC TRUE BASIC EARBUDS WHITE,2.990,4.790
KUFJE SONY WIC310N.CE7,2.997,3.490
KUFJE SONY WIC310W.CE7,2.997,3.490
KUFJE SONY WIC310B.CE7,2.997,3.490
DEFUNC TRUE LITE EARBUDS BLACK,N/A,3.490
KUFJE SONY WHCH520W.CE7,3.790,6.490
KUFJE SONY WHCH520B.CE7,3.790,6.490
KUFJE SONY WHCH520L.CE7,3.790,6.490
KUFJE SONY WHCH520C.CE7,3.790,6.490
BOKS BLUETOOTH SONY SRSXB100B.CE7,4.290,5.990
BOKS BLUETOOTH SONY SRSXB100H.CE7,4.290,5.990
BOKS BLUETOOTH SONY SRSXB100L.CE7,4.290,5.990
BOKS BLUETOOTH SONY SRSXB100D.CE7,4.290,5.990
KUFJE TELLUR VIBE ANC BLACK,N/A,4.490
KUFJE PLANTRONICS BLACKWIRE C3220,N/A,4.490
KUFJE SONY WIC100C.CE7,4.490,5.490
KUFJE SONY WIC100L.CE7,4.490,5.490
KUFJE SONY WIC100B.CE7,4.490,5.490
KUFJE SONY WIC100W.CE7,4.497,5.490
KUFJE DEFUNC TRUE MUSIC EARBUDS PINK,N/A,4.790
KUFJE JBL ENDURANCE RUN 2 BT WHITE,N/A,4.990
KUFJE JBL JR310BT RED,N/A,4.990
KUFJE JBL ENDURANCE RUN 2 BT BLACK,N/A,4.990
KUFJE JBL TUNE 520BT PURPLE,5.490,5.990
KUFJE JBL TUNE 520BT WHITE,5.490,5.990
KUFJE JBL TUNE 520BT BLACK,5.490,5.990
KUFJE JBL TUNE 520BT BLUE,5.490,5.990
KUFJE SONY WFC500B.CE7,5.590,12.990
KUFJE SONY WFC500D.CE7,5.590,12.990
KUFJE SONY WFC500G.CE7,5.590,12.990
KUFJE SONY WFC500W.CE7,5.590,12.990
XIAOMI REDMI BUDS 5-WHITE 49903,N/A,5.990
SAMSUNG GALAXY BUDS 2 BLACK,5.997,18.990
KUFJE JBL TUNE 660NC BLACK,6.490,12.990
KUFJE JBL TUNE 525BT BLACK,N/A,6.990
XIAOMI REDMI BUDS 4 PRO WHITE 38952,7.490,8.490
XIAOMI REDMI BUDS 4 PRO BLACK 38951,7.490,8.490
KUFJE JBL WAVE BEAM EARBUDS BLUE,N/A,7.990
KUFJE JBL JR 460NC WHITE,N/A,7.990
KUFJE JBL WAVE FLEX BLACK,N/A,7.990
KUFJE JBL WAVE FLEX WHITE,N/A,7.990
KUFJE JBL WAVE BEAM BLACK,N/A,7.990
KUFJE JBL TUNE 760NC BLACK,7.990,12.990
KUFJE SONY WHCH720NL.CE7,8.490,14.990
KUFJE SONY WHCH720NW.CE7,8.490,14.990
KUFJE SONY WHCH720NB.CE7,8.490,14.990
KUFJE JBL TUNE 720BT BLUE,N/A,8.990
KUFJE JBL TUNE 720BT BLACK,N/A,8.990
KUFJE SONY WFC700NB.CE7,8.990,13.990
KUFJE SONY WFC700NW.CE7,8.990,13.990
KUFJE SONY WFC700NV.CE7,8.990,13.990
KUFJE SONY WFC700NG.CE7,8.990,13.990
KUFJE JBL TUNE BUDS BLACK,N/A,9.990
KUFJE JBL TUNE BUDS BLUE,N/A,9.990
KUFJE JBL TUNE BEAM EARPHONES BLACK,N/A,9.990
KUFJE JBL TUNE FLEX BLACK,N/A,9.990
KUFJE JBL TUNE FLEX BLUE,N/A,9.990
XIAOMI REDMI BUDS 5 PRO MOONLIGHT WHITE,N/A,9.990
SAMSUNG GALAXY BUDS FE WHITE,9.990,14.990
SAMSUNG GALAXY BUDS FE GRAPHITE,9.990,14.990
SAMSUNG GALAXY BUDS 2 WHITE,9.997,18.990
KUFJE PLANTRONICS VOYAGER 5200/R,10.990,13.990
KUFJE JBL QUANTUM 360P WHITE AND BLU,N/A,12.990
Apple AirPods2 with Charging Case,12.990,22.990
APPLE AIRPODS2 WITH LIGHTNING CHARGING CASE,12.990,22.990
KUFJE JBL VIBE300 TWS BLACK,12.997,19.990
Samsung Galaxy Buds 2 Pro Gray,13.990,25.990
KUFJE JBL LIVE PRO2 TWS BLACK,N/A,14.990
KUFJE JBL LIVE PRO2 TWS BLUE,N/A,14.990
KUFJE JBL REFLECT AERO TWS BLACK,N/A,15.990
KUFJE JBL REFLECT AERO WHITE,N/A,15.990
KUFJE JBL REFLECT AERO MINT,N/A,15.990
KUFJE JBL LIVE FLEX BLUE,N/A,16.990
KUFJE JBL LIVE 770NC SANDSTONE,N/A,17.990
KUFJE JBL LIVE 660NC BLUE,N/A,17.990
KUFJE JBL LIVE 770NC BLUE,N/A,17.990
KUFJE JBL LIVE 770NC WHITE,N/A,17.990
KUFJE JBL LIVE 770NC BLACK,N/A,17.990
KUFJE SAMSUNG GALAXY BUDS3 SILVER,N/A,17.990
KUFJE SAMSUNG GALAXY BUDS3 WHITE,N/A,17.990
KUFJE SONY WHULT900NH.CE7,N/A,18.990
KUFJE SONY WHULT900NW.CE7,N/A,18.990
KUFJE SONY WHULT900NB.CE7,N/A,18.990
KUFJE SONY WHXB910NL.CE7,N/A,19.990
Kufje Beats Studio Buds + Black/Gold,19.990,23.990
Kufje Beats Studio Buds + Ivory,19.990,23.990
KUFJE SONY WHXB910NB.CE7,N/A,20.990
KUFJE BEATS SOLO3 WIRELESS BLACK mx432zm/a,22.990,25.990
APPLE AIRPODS3 WITH LIGHTNING CHARGING CASE,22.990,27.990
Apple AirPods3 with MagSafe Charging Case,24.990,29.990
KUFJE SONY WF1000XM5B.CE7,25.990,29.990
KUFJE SONY WF1000XM5S.CE7,25.990,29.990
KUFJE SONY WH1000XM4L.CE7,25.990,34.990
KUFJE SONY WH1000XM4B.CE7,25.990,34.990
KUFJE SONY WH1000XM4S.CE7,25.990,34.990
KUFJE JBL TOUR PRO 2 BLACK,N/A,27.990
KUFJE JBL QUANTUM 910P  WHITE AND BLUE,N/A,29.990
KUFJE JBL TOUR ONE M2 BLACK,29.997,33.990
APPLE AIRPODS PRO2 WITH MAGSAFE CASE USB-C,31.990,38.990
KUFJE BEATS STUDIO PRO WIRELESS SANDSTONE,31.990,39.990
KUFJE SONY WH1000XM5B.CE7,32.990,44.990
KUFJE SONY WH1000XM5L.CE7,32.990,44.990
KUFJE SONY WH1000XM5S.CE7,32.990,44.990
KUFJE BEATS STUDIO PRO WIRELESS DEEP BROWN,34.990,39.990
KUFJE BEATS STUDIO PRO WIRELESS BLACK,34.990,39.990
KUFJE BEATS STUDIO PRO WIRELESS NAVY,34.990,39.990
APPLE AIRPODS MAX SPACE GRAY,66.990,84.990
APPLE AIRPODS MAX SPACE GREEN,66.990,84.990
APPLE AIRPODS MAX SKY BLUE,66.990,84.990
APPLE AIRPODS MAX PINK,66.990,84.990
