Emri,Cmimi aktual,Cmimi i vjeter
MBAJTESE MAGNETIKE CELULARI PER MAKINE S-LINK,257,690
MBAJTESE CELULARI S-LINK SL-AT24 MAKINE MAGNET,N/A,590
MBAJTESE BICIKLETE SWISSTEN S-GRIP BCCL1,590,790
MBAJTESE MAGNET AIR-VENT MAKINE SIWISSTEN,590,990
MBAJTESE MOB SWISSTEN MAGNET,690,990
SELFIE STICK SWISSTEN BLUETOOTH,790,1.190
MBAJTESE MOB MAKINE S-LINK SL-AT12,N/A,990
MBAJTESE MOB MAKINE TELLUR GRAVITY CMH20,1.090,1.390
MBAJTESE CELULARI HAMA MAKINE MAGNET,N/A,1.390
INSTA360 ONE X2 SELFIE STICK,N/A,1.490
MBROJTES TENSIONI LEGRAND 2 USB MBAJTESE CEL - W,1.697,2.590
MBAJTESE TAB HAMA MAKINE 182540,1.697,2.890
TRIPOD XIAOMI MI SELFIE STICK BLACK,N/A,2.590
MBAJTESE MAKINE TELLUR WIRELESS AUTOMATIC,N/A,2.790
TRIPOD KSIX STUDIO LIVE RING LED MAX 1.6M,3.990,6.290
TRIPOD KSIX STUDIO LIVE RING LED,N/A,4.490
MBAJTESE MAKINE MI WIRELESS 20W,N/A,5.490
