Emri,Cmimi aktual,Cmimi i vjeter
SMARTWATCH URBAN 4 KSIX BLUE,3.990,5.990
SMARTWATCH URBAN 4 KSIX WHITE,3.990,5.990
SMARTWATCH URBAN 4 KSIX PINK,3.990,5.990
SMARTWATCH URBAN 4 KSIX BLACK,3.990,5.990
SAMSUNG GALAXY FIT3 SILVER,4.490,7.990
SAMSUNG GALAXY FIT3 GRAY,4.490,7.990
SAMSUNG GALAXY FIT3 PINK GOLD,4.490,7.990
SMARTWATCH URBAN 3 KSIX BLACK,4.497,5.990
SMARTWATCH URBAN 3 KSIX ROSE GOLD,4.497,5.990
SMARTWATCH URBAN 3 KSIX WHITE,4.497,5.990
SMARTWATCH KSIX OSLO GREEN,4.997,7.990
SMARTWATCH KSIX OSLO BLACK,4.997,7.990
Smartwatch Celly for Kids Pink,5.497,6.990
Smartwatch Celly for Kids Blue,5.497,6.990
SMARTWATCH KSIX URBAN PLUS CHAMPAGNE,5.497,7.990
SMARTWATCH KSIX URBAN PLUS BLACK,5.497,7.990
Redmi Watch 3 Black,7.990,9.990
Redmi Watch 3 Ivory,7.990,9.990
Xiaomi Redmi Watch S1 Active GL Blue,9.990,22.990
Xiaomi Redmi Watch S1 Active GL Moon White,9.990,22.990
Fitbit Versa 2  Black/Carbon Aluminum,10.990,15.990
Xiaomi Redmi Watch S1 GL Black,11.990,26.990
Xiaomi Redmi Watch S1 GL Silver,11.990,26.990
Fitbit Versa 4 Black/Graphite,16.990,23.990
Fitbit Versa 4 Pink Sand / Copper Rose,16.990,23.990
Fitbit Versa 4 Beet/Copper Rose,16.990,23.990
Fitbit Versa 4 Waterfall Blue/Platinum,16.990,23.990
Xiaomi Watch S1 Pro GL Silver,17.990,23.990
Samsung Galaxy Watch5 40mm Gray,21.997,29.990
Samsung Galaxy Watch5 40mm Gold,21.997,29.990
Samsung Galaxy Watch6 40mm Beige,23.990,33.990
Samsung Galaxy Watch6 40mm Black,23.990,33.990
Samsung Galaxy Watch5 44mm Blue,24.997,34.990
Samsung Galaxy Watch5 44mm Silver,24.997,34.990
Samsung Galaxy Watch7 40mm Green,25.990,29.990
Samsung Galaxy Watch7 40mm Beige,25.990,29.990
Samsung Galaxy Watch6 44mm Silver,25.990,36.990
Samsung Galaxy Watch6 44mm Black,25.990,36.990
Apple Watch SE3 40mm Midnight - S/M,27.990,33.990
Apple Watch SE3 40mm Starlight - M/L,27.990,33.990
Apple Watch SE3 40mm Midnight - M/L,27.990,33.990
Apple Watch SE3 40mm Silver - M/L,27.990,33.990
Apple Watch SE3 40mm Silver - Sport/Loop,27.990,33.990
Apple Watch SE3 40mm Starlight - Sport/Loop,27.990,33.990
Apple Watch SE3 40mm Silver - S/M,27.990,33.990
Apple Watch SE3 40mm Midnight - Sport/Loop,27.990,33.990
Apple Watch SE3 44mm Starlight - M/L,29.990,37.990
Apple Watch SE3 44mm Midnight - Sport/Loop,29.990,37.990
Apple Watch SE3 44mm Starlight - Sport/Loop,29.990,37.990
Apple Watch SE3 44mm Silver - M/L,29.990,37.990
Apple Watch SE3 44mm Silver - Sport/Loop,29.990,37.990
Apple Watch SE3 44mm Midnight - M/L,29.990,37.990
Apple Watch SE3 44mm Silver - S/M,29.990,37.990
Apple Watch SE3 44mm Starlight - S/M,29.990,37.990
Samsung Galaxy Watch6 Classic 43mm Silver,31.990,44.990
Samsung Galaxy Watch6 Classic 43mm Black,31.990,44.990
Samsung Galaxy Watch6 Classic 47mm Black,33.990,47.990
Samsung Galaxy Watch6 Classic 47mm Silver,33.990,47.990
Samsung Galaxy Watch7 44mm Silver,34.990,39.990
Samsung Galaxy Watch7 44mm Green,34.990,39.990
Apple Watch S8 41mm Midnight + Sport Band,34.997,46.997
Samsung Galaxy Watch5 Pro Titanium,34.997,49.990
Samsung Galaxy Watch5 Pro Black,34.997,49.990
Apple Watch S9 41mm Midnight - S/M,44.990,54.990
Apple Watch S9 41mm Midnight - Sport/Loop,44.990,54.990
Apple Watch S9 41mm Midnight - M/L,44.990,54.990
Apple Watch S9 41mm Silver - M/L,44.990,54.990
Apple Watch S9 41mm Starlight - M/L,44.990,54.990
Apple Watch S9 41mm Silver - S/M,44.990,54.990
