Emri,Cmimi
Apple iPhone 11,19990
Apple iPhone 12 Pro Max,44990
Apple iPhone 13 Pro Max,59990
Apple iPhone 8 Plus,21990
"Fujitsu Lifebook U745, 14″, 8GB, 250/500GB SSD, Core i7",17990
"AOC Monitor 24P1, 23.8″ FHD",11990
"Apple iPad 7th Gen, 10.2″ Wi-Fi+Cellular, 32GB",23990
"Apple iPad 9.7″ 5th Gen, 32GB, Wifi Only",23600
"Apple iPad 9.7″, 32GB (Wifi + Cellular)",19990
"Apple iPad 9.7″, 6th GEN, Wi-Fi+Cellular, 32GB (2018)",17490
"Apple iPad 9th Gen, 10.2″, Wi-Fi+Cellular, 64GB (2021)",31990
"Apple iPad Air 10.9″ 4th Gen, Wi-Fi+Cellular, 64GB",41990
"Apple iPad Air 2 9.7″, 64GB, Wi-Fi+Cellular",11990
"Apple iPad Pro 11″, Wi-Fi+Cellullar, 1st Gen 256GB",44990
"Apple iPad Pro 2nd Gen, 11″, Wi-Fi+Cellular, 128GB",69990
"Apple iPad Pro 3th Gen, 11″, Wi-Fi+Cellular, 128GB",64990
"Apple iPad Pro Gen 4 10.5″, 4G, 64GB",47700
Apple iPhone 11 Pro,29990
Apple iPhone 11 Pro Max,31990
Apple iPhone 12,28990
Apple iPhone 12 Pro,36990
Apple iPhone 13,39990
Apple iPhone 13 Pro,50990
Apple iPhone 8,14990
Apple iPhone XR,19990
Apple iPhone XS Max,23990
"Dell Latitude 5300,13″, 8GB, 500GB SSD, Core i5",19990
"Dell Latitude 5480 14″, 8GB, 256GB SSD, Core i5",30990
"Dell Latitude 5590 15″, 8GB, 250GB SSD, Core i5",24990
"Dell Latitude E5470 14″, 8GB, 130GB SSD, Core i5",26990
"Dell OptiPlex 5040 8GB, 250GB SSD, Core i5",12990
"Dell Precision 7510 Workstation 15.6″ 16GB, 256GB SSD, Core i7",54990
"Dell Precision 7540 15″, 16GB, 500GB SSD, Core i7",54990
"Dell Precision 7540 15″, 32GB, 500GB SSD, Core i7",79990
"Dell Precision 7540 15″, 32GB, 500GB SSD, Core i7",59990
"Fujitsu Lifebook U758, 15.6″, 8GB, 256GB SSD, Core i5",23990
"Fujitsu Lifebook U758, 15.6″, 8GB, 256GB SSD, Core i7",27990
"Fujitsu Lifebook U758, 15.6″, 8GB, 512GB SSD, Core i7",29990
"Fujitsu LifeBook U758, 15″, 8GB, 256GB SSD, Core i5",19990
"HP Elitebook 830 G6 13″, 16GB, 256GB SSD, Core i5",29990
"HP Elitebook 830 G6 13″, 8GB, 128GB SSD, Core i5",16990
"HP Elitebook 830 G6 13″, 8GB, 256GB SSD, Core i5",19990
"HP Elitebook x360 830 G6 13.3″, 8GB RAM, 512GB SSD, Core i7",32990
"HP Elitebook x360 G6 13.3″, 8GB RAM, 256GB SSD, Core i5",21990
"HP ProBook 640 G5 14″, 16GB, 256GB SSD, Core i5",19990
"HP ProBook 640 G5 14″, 8GB, 256GB SSD, Core i5",17990
HP Z24N G2 24″ IPS Monitor,13990
"HP Z440 Workstation 32GB, 500GB SSD, Intel Xeon",49990
"HP ZBook 15 G5 Workstation 15.6″, 500GB SSD, Core i5",54990
"HP ZBook G3 15.6″, 32GB, 500GB SSD, Core i7",59990
"HP ZBook G3 15.6″, 32GB, 500GB SSD, Core i7",54990
"Laptop Apple MacBook Pro 15″,16GB, 256GB, Core i7",84990
"Laptop HP Elitebook 820 G4 8GB RAM, 250GB SSD, Core i5",29990
"Lenovo ThinkCentre Tiny-in-One Gen 3, 23.8″, 16GB, 250GB SSD, Core I5",29990
"Lenovo ThinkPad L13 13.3″, 8GB, 256GB SSD, Core i5",22990
"Lenovo ThinkPad L13 Yoga 13″, 8GB, 256GB SSD, Core i5",36990
"Lenovo ThinkPad T495 14″, 16GB, 256GB SSD, Ryzen 5",22990
"Lenovo ThinkPad T495 14″, 8GB, 256GB SSD, Ryzen 5",19990
"Microsoft Surface Pro X 13″, 8GB, 256GB SSD, SQ1",79990
Monitor HP E233 EliteDisplay 23″ FHD,12990
Nvidia Inno3D Ge Force G210 1GB SDDR3,4990
Printer HP LaserJet Enterprise M602n,24990
Samsung Galaxy Note 10,22990
Samsung Galaxy Note 10 5G,24990
Samsung Galaxy Note 10 Plus,28990
Samsung Galaxy Note 20 5G,28990
Samsung Galaxy Note 20 Ultra,34900
Samsung Galaxy Note 20 Ultra 5G,36990
Samsung Galaxy Note 9,26990
Samsung Galaxy S10,17990
Samsung Galaxy S10+,20990
Samsung Galaxy S20,19990
Samsung Galaxy S20 5G,19990
Samsung Galaxy S20 Plus,22990
Samsung Galaxy S20 Ultra 5G,29990
Samsung Galaxy S21 5G,24990
Samsung Galaxy S21 Plus 5G,28990
Samsung Galaxy S21 Ultra 5G,37990
Samsung Galaxy S22 5G,33990
Samsung Galaxy S22 Ultra 5G 12/256-512GB,47990
Samsung Galaxy S22+,38990
Samsung Galaxy S23 Ultra,63990
Samsung Galaxy S9,13990
Samsung Galaxy S9 Plus,15990
Samsung Galaxy Z Fold5 12/512GB,87990
Xiaomi Mi Robot Vacuum Mop Essential,9990
Xiaomi Redmi 9A,6990
"Apple Macbook Pro 13.3″ 2018, 16GB, 2TB SSD, Core i7",69990
"Dell Inspiron 5379 13”, 8GB, 250GB SSD, Core i5",25990
"Dell Latitude 5490 14″, 8GB, 120GB SSD, Core i5",33990
"Fujitsu Esprimo D556, 8GB, 250GB SSD, Core i3",9990
"HP Elitedesk 800 G1 SFF 8GB, 500GB HDD, Core i5",11490
"Ilyama Monitor ProLite T2735MSC, Touchscreen, 27”",14990
